Year,Site,Month,Depth,Total Daphnia,Sum of Density
2015,Fall Creek,May,0.5,6,1200
2015,Fall Creek,May,2,64,12800
2015,Fall Creek,May,4,28,5600
2015,Fall Creek,May,6,17,3400
2015,Fall Creek,May,8,3,600
2015,Fall Creek,May,10,3,600
2015,Fall Creek,May,12,1,200
2015,Fall Creek,May,14,4,800
2015,Fall Creek,May,20,1,200
2015,Fall Creek,May,33,1,200
2015,Fall Creek,June,0.5,5,1000
2015,Fall Creek,June,2,5,1000
2015,Fall Creek,June,4,6,1200
2015,Fall Creek,June,6,8,1600
2015,Fall Creek,June,8,2,400
2015,Fall Creek,June,10,0,0
2015,Fall Creek,June,12,1,200
2015,Fall Creek,June,14,1,200
2015,Fall Creek,June,20,0,0
2015,Fall Creek,June,35,0,0
2015,Fall Creek,July,0.5,3,600
2015,Fall Creek,July,2,5,1000
2015,Fall Creek,July,4,24,4800
2015,Fall Creek,July,6,17,3400
2015,Fall Creek,July,8,3,600
2015,Fall Creek,July,10,3,600
2015,Fall Creek,July,12,4,800
2015,Fall Creek,July,14,2,400
2015,Fall Creek,July,20,1,200
2015,Fall Creek,July,32,2,400
2015,Fall Creek,August,0.5,1,200
2015,Fall Creek,August,2,2,400
2015,Fall Creek,August,4,8,1600
2015,Fall Creek,August,6,4,800
2015,Fall Creek,August,8,4,800
2015,Fall Creek,August,10,1,200
2015,Fall Creek,August,12,2,400
2015,Fall Creek,August,14,1,200
2015,Fall Creek,August,20,0,0
2015,Fall Creek,August,28,2,400
2015,Fall Creek,August,35,0,0
2015,Hills Creek,May,0.5,2,400
2015,Hills Creek,May,2,15,3000
2015,Hills Creek,May,4,15,3000
2015,Hills Creek,May,6,17,3400
2015,Hills Creek,May,8,18,3600
2015,Hills Creek,May,10,6,1200
2015,Hills Creek,May,12,2,400
2015,Hills Creek,May,14,1,200
2015,Hills Creek,May,20,0,0
2015,Hills Creek,May,35,0,0
2015,Hills Creek,June,0.5,1,200
2015,Hills Creek,June,2,16,3200
2015,Hills Creek,June,4,56,11200
2015,Hills Creek,June,6,33,6600
2015,Hills Creek,June,8,28,5600
2015,Hills Creek,June,10,36,7200
2015,Hills Creek,June,12,19,3800
2015,Hills Creek,June,14,24,4800
2015,Hills Creek,June,20,8,1600
2015,Hills Creek,June,35,1,200
2015,Hills Creek,July,0.5,2,400
2015,Hills Creek,July,2,0,0
2015,Hills Creek,July,4,3,600
2015,Hills Creek,July,6,4,800
2015,Hills Creek,July,8,16,3200
2015,Hills Creek,July,10,26,5200
2015,Hills Creek,July,12,15,3000
2015,Hills Creek,July,14,12,2400
2015,Hills Creek,July,20,0,0
2015,Hills Creek,July,35,0,0
2015,Hills Creek,August,0.5,3,600
2015,Hills Creek,August,2,10,2000
2015,Hills Creek,August,4,10,2000
2015,Hills Creek,August,6,7,1400
2015,Hills Creek,August,8,6,1200
2015,Hills Creek,August,10,4,800
2015,Hills Creek,August,12,10,2000
2015,Hills Creek,August,14,2,400
2015,Hills Creek,August,20,0,0
2015,Hills Creek,August,35,0,0
2015,Lookout Point,May,0.5,12,2400
2015,Lookout Point,May,2,7,1400
2015,Lookout Point,May,4,21,4200
2015,Lookout Point,May,6,22,4400
2015,Lookout Point,May,8,14,2800
2015,Lookout Point,May,10,10,2000
2015,Lookout Point,May,12,1,200
2015,Lookout Point,May,14,0,0
2015,Lookout Point,May,20,1,200
2015,Lookout Point,May,27,1,200
2015,Lookout Point,May,35,0,0
2015,Lookout Point,June,0.5,1,200
2015,Lookout Point,June,2,13,2600
2015,Lookout Point,June,4,24,4800
2015,Lookout Point,June,6,24,4800
2015,Lookout Point,June,8,24,4800
2015,Lookout Point,June,10,52,10400
2015,Lookout Point,June,12,24,4800
2015,Lookout Point,June,14,11,2200
2015,Lookout Point,June,20,0,0
2015,Lookout Point,June,35,0,0
2015,Lookout Point,July,0.5,2,400
2015,Lookout Point,July,2,29,5800
2015,Lookout Point,July,4,77,15400
2015,Lookout Point,July,6,39,7800
2015,Lookout Point,July,8,23,4600
2015,Lookout Point,July,10,4,800
2015,Lookout Point,July,12,1,200
2015,Lookout Point,July,14,0,0
2015,Lookout Point,July,20,2,400
2015,Lookout Point,July,35,0,0
2015,Lookout Point,August,0.5,15,3000
2015,Lookout Point,August,2,11,2200
2015,Lookout Point,August,4,11,2200
2015,Lookout Point,August,6,16,3200
2015,Lookout Point,August,8,37,7400
2015,Lookout Point,August,10,32,6400
2015,Lookout Point,August,12,33,6600
2015,Lookout Point,August,14,34,6800
2015,Lookout Point,August,20,3,600
2015,Lookout Point,August,35,0,0
2015,Fall Creek,March,0.5,6,1200
