Depth,Total Daphnia
0.5,500
1,500
1.5,500
2,500
2.5,500
3,500
3.5,500
4,500
4.5,500
5,500
5.5,500
6,500
6.5,500
7,500
7.5,500
8,500
8.5,500
9,500
9.5,500
10,500
10.5,500
11,500
11.5,500
12,500
12.5,500
13,500
13.5,500
14,500
14.5,500
15,500
15.5,500
16,500
16.5,500
17,500
17.5,500
18,500
18.5,500
19,500
19.5,500
20,500
20.5,500
21,500
21.5,500
22,500
22.5,500
23,500
23.5,500
24,500
24.5,500
25,500
25.5,500
26,500
26.5,500
27,500
27.5,500
28,500
28.5,500
29,500
29.5,500
30,500
30.5,500
31,500
31.5,500
32,500
32.5,500
33,500
33.5,500
34,500
34.5,500
35,500
35.5,500
