elevation (m),elev (ft), 2d_area (m2)
254,833.3,7172409.8
253,830.0,6983192.2
252,826.8,6794680.6
251,823.5,6606033.7
250,820.2,6408580.1
249,816.9,6192611.9
248,813.6,5959985.2
247,810.4,5721028.5
246,807.1,5504466.9
245,803.8,5295291.9
244,800.5,5093574.5
243,797.2,4885259.6
242,794.0,4691561.0
241,790.7,4480284.8
240,787.4,4263365.1
239,784.1,4063772.1
238,780.8,3881897.4
237,777.5,3701318.7
236,774.3,3542155.0
235,771.0,3401037.1
234,767.7,3253419.4
233,764.4,3111623.4
232,761.1,2964049.1
231,757.9,2826196.4
230,754.6,2708579.2
229,751.3,2580283.9
228,748.0,2460461.6
227,744.7,2362731.2
226,741.5,2250987.7
225,738.2,2099456.6
224,734.9,1976720.7
223,731.6,1826783.5
222,728.3,1675439.7
221,725.1,1551214.6
220,721.8,1388328.5
219,718.5,1239093.6
218,715.2,1098432.7
217,711.9,938778.8
216,708.7,794499.8
215,705.4,681568.4
214,702.1,543763.1
213,698.8,418760.8
212,695.5,283958.6
211,692.2,118359.2
210,689.0,58565.3
209,685.7,22749.4
208,682.24,22749.4
207,682.24,22749.4
