depth,temp
2.003,11.8647902
2.503,11.79081826
3.003,11.73537456
3.503,11.68121908
4.003,11.58293574
4.503,11.54225495
5.003,11.49408664
5.503,11.2183337
6.003,10.92624227
6.503,10.51568577
7.003,10.1264604
7.503,9.789149536
8.003,9.407312669
8.503,8.993307457
9.003,8.750671308
9.503,8.538847888
10.003,8.295854083
10.503,8.020476761
11.003,7.79026941
11.503,7.589292692
12.003,7.44472626
12.503,7.344113944
13.003,7.169985475
13.503,7.069638188
14.003,6.988336426
14.503,6.898520046
15.003,6.841615947
15.503,6.816752355
16.003,6.773505524
16.503,6.741897362
17.003,6.714610521
17.503,6.692302642
18.003,6.666736208
18.503,6.632106715
19.003,6.57981113
19.503,6.534317267
20.003,6.497652767
20.503,6.470031311
21.003,6.427687184
21.503,6.385715993
22.003,6.367824402
22.503,6.344396384
23.003,6.299751481
