,Day,Depth,Temperature
1.0,1.0,2.177,23.0568016
1.0,1.0,2.677,23.04937899
1.0,1.0,3.177,23.04661167
1.0,1.0,3.677,23.03823364
1.0,1.0,4.177,23.01658688
1.0,1.0,4.677,22.98270211
1.0,1.0,5.1770000000000005,22.92442286
1.0,1.0,5.6770000000000005,22.88254909
1.0,1.0,6.1770000000000005,22.83723074
1.0,1.0,6.6770000000000005,22.5258345
1.0,1.0,7.1770000000000005,22.05197675
1.0,1.0,7.6770000000000005,21.25286458
1.0,1.0,8.177,20.2178198
1.0,1.0,8.677,18.96650508
1.0,1.0,9.177,17.5858046
1.0,1.0,9.677,16.21500487
1.0,1.0,10.177,15.01546632
1.0,1.0,10.677,13.9679109
1.0,1.0,11.177,13.16528995
1.0,1.0,11.677,12.41543412
1.0,1.0,12.177,11.87596649
1.0,1.0,12.677,11.36722793
1.0,1.0,13.177,10.89368723
1.0,1.0,13.677,10.49100166
1.0,1.0,14.177,10.10889607
1.0,1.0,14.677,9.74414576
1.0,1.0,15.177,9.463381125
1.0,1.0,15.677,9.155747135
1.0,1.0,16.177,8.938560686
1.0,1.0,16.677,8.747514548
1.0,1.0,17.177,8.624124305
1.0,1.0,17.677,8.476831654
1.0,1.0,18.177,8.364019446
1.0,1.0,18.677,8.263141173
1.0,1.0,19.177,8.151720756
1.0,1.0,19.677,8.067148656
1.0,1.0,20.177,7.995153534
1.0,1.0,20.677,7.899948183999999
1.0,1.0,21.177,7.82974944
1.0,1.0,21.677,7.770320332000001
1.0,1.0,22.177,7.714477077000001
1.0,1.0,22.677,7.6762084260000005
1.0,1.0,23.177,7.628989862
1.0,1.0,23.677,7.590622507999999
1.0,1.0,24.177,7.569423114
1.0,1.0,24.677,7.533626474
1.0,1.0,25.177,7.506463577999999
1.0,1.0,25.677,7.473564529
1.0,1.0,26.177,7.436928022999999
1.0,1.0,26.677,7.4062181439999994
1.0,1.0,27.177,7.38424854
1.0,1.0,27.677,7.348097919
1.0,1.0,28.177,7.315652932999999
1.0,1.0,28.677,7.279690057000001
1.0,1.0,29.177,7.249805103
1.0,1.0,29.677,7.212784098999999
1.0,1.0,30.177,7.1756932
1.0,1.0,30.677,7.137939306
1.0,1.0,31.177,7.113406769
1.0,1.0,31.677,7.086994351
1.0,1.0,32.177,7.062826964
1.0,1.0,32.677,7.038434225
1.0,1.0,33.177,7.0201771289999995
1.0,1.0,33.677,7.004706375
1.0,1.0,34.177,6.993759598
1.0,1.0,34.677,6.981577719
1.0,1.0,35.177,6.97175109
1.0,1.0,35.677,6.964930616
1.0,1.0,36.177,6.955421604
1.0,1.0,36.677,6.946015803
1.0,1.0,37.177,6.93853539
1.0,1.0,37.677,6.929835951
1.0,1.0,38.177,6.188669086
2.0,2.0,2.177,23.0568016
2.0,2.0,2.677,23.04937899
2.0,2.0,3.177,23.04661167
2.0,2.0,3.677,23.03823364
2.0,2.0,4.177,23.01658688
2.0,2.0,4.677,22.98270211
2.0,2.0,5.1770000000000005,22.92442286
2.0,2.0,5.6770000000000005,22.88254909
2.0,2.0,6.1770000000000005,22.83723074
2.0,2.0,6.6770000000000005,22.5258345
2.0,2.0,7.1770000000000005,22.05197675
2.0,2.0,7.6770000000000005,21.25286458
2.0,2.0,8.177,20.2178198
2.0,2.0,8.677,18.96650508
2.0,2.0,9.177,17.5858046
2.0,2.0,9.677,16.21500487
2.0,2.0,10.177,15.01546632
2.0,2.0,10.677,13.9679109
2.0,2.0,11.177,13.16528995
2.0,2.0,11.677,12.41543412
2.0,2.0,12.177,11.87596649
2.0,2.0,12.677,11.36722793
2.0,2.0,13.177,10.89368723
2.0,2.0,13.677,10.49100166
2.0,2.0,14.177,10.10889607
2.0,2.0,14.677,9.74414576
2.0,2.0,15.177,9.463381125
2.0,2.0,15.677,9.155747135
2.0,2.0,16.177,8.938560686
2.0,2.0,16.677,8.747514548
2.0,2.0,17.177,8.624124305
2.0,2.0,17.677,8.476831654
2.0,2.0,18.177,8.364019446
2.0,2.0,18.677,8.263141173
2.0,2.0,19.177,8.151720756
2.0,2.0,19.677,8.067148656
2.0,2.0,20.177,7.995153534
2.0,2.0,20.677,7.899948183999999
2.0,2.0,21.177,7.82974944
2.0,2.0,21.677,7.770320332000001
2.0,2.0,22.177,7.714477077000001
2.0,2.0,22.677,7.6762084260000005
2.0,2.0,23.177,7.628989862
2.0,2.0,23.677,7.590622507999999
2.0,2.0,24.177,7.569423114
2.0,2.0,24.677,7.533626474
2.0,2.0,25.177,7.506463577999999
2.0,2.0,25.677,7.473564529
2.0,2.0,26.177,7.436928022999999
2.0,2.0,26.677,7.4062181439999994
2.0,2.0,27.177,7.38424854
2.0,2.0,27.677,7.348097919
2.0,2.0,28.177,7.315652932999999
2.0,2.0,28.677,7.279690057000001
2.0,2.0,29.177,7.249805103
2.0,2.0,29.677,7.212784098999999
2.0,2.0,30.177,7.1756932
2.0,2.0,30.677,7.137939306
2.0,2.0,31.177,7.113406769
2.0,2.0,31.677,7.086994351
2.0,2.0,32.177,7.062826964
2.0,2.0,32.677,7.038434225
2.0,2.0,33.177,7.0201771289999995
2.0,2.0,33.677,7.004706375
2.0,2.0,34.177,6.993759598
2.0,2.0,34.677,6.981577719
2.0,2.0,35.177,6.97175109
2.0,2.0,35.677,6.964930616
2.0,2.0,36.177,6.955421604
2.0,2.0,36.677,6.946015803
2.0,2.0,37.177,6.93853539
2.0,2.0,37.677,6.929835951
2.0,2.0,38.177,6.188669086
3.0,3.0,2.177,23.0568016
3.0,3.0,2.677,23.04937899
3.0,3.0,3.177,23.04661167
3.0,3.0,3.677,23.03823364
3.0,3.0,4.177,23.01658688
3.0,3.0,4.677,22.98270211
3.0,3.0,5.1770000000000005,22.92442286
3.0,3.0,5.6770000000000005,22.88254909
3.0,3.0,6.1770000000000005,22.83723074
3.0,3.0,6.6770000000000005,22.5258345
3.0,3.0,7.1770000000000005,22.05197675
3.0,3.0,7.6770000000000005,21.25286458
3.0,3.0,8.177,20.2178198
3.0,3.0,8.677,18.96650508
3.0,3.0,9.177,17.5858046
3.0,3.0,9.677,16.21500487
3.0,3.0,10.177,15.01546632
3.0,3.0,10.677,13.9679109
3.0,3.0,11.177,13.16528995
3.0,3.0,11.677,12.41543412
3.0,3.0,12.177,11.87596649
3.0,3.0,12.677,11.36722793
3.0,3.0,13.177,10.89368723
3.0,3.0,13.677,10.49100166
3.0,3.0,14.177,10.10889607
3.0,3.0,14.677,9.74414576
3.0,3.0,15.177,9.463381125
3.0,3.0,15.677,9.155747135
3.0,3.0,16.177,8.938560686
3.0,3.0,16.677,8.747514548
3.0,3.0,17.177,8.624124305
3.0,3.0,17.677,8.476831654
3.0,3.0,18.177,8.364019446
3.0,3.0,18.677,8.263141173
3.0,3.0,19.177,8.151720756
3.0,3.0,19.677,8.067148656
3.0,3.0,20.177,7.995153534
3.0,3.0,20.677,7.899948183999999
3.0,3.0,21.177,7.82974944
3.0,3.0,21.677,7.770320332000001
3.0,3.0,22.177,7.714477077000001
3.0,3.0,22.677,7.6762084260000005
3.0,3.0,23.177,7.628989862
3.0,3.0,23.677,7.590622507999999
3.0,3.0,24.177,7.569423114
3.0,3.0,24.677,7.533626474
3.0,3.0,25.177,7.506463577999999
3.0,3.0,25.677,7.473564529
3.0,3.0,26.177,7.436928022999999
3.0,3.0,26.677,7.4062181439999994
3.0,3.0,27.177,7.38424854
3.0,3.0,27.677,7.348097919
3.0,3.0,28.177,7.315652932999999
3.0,3.0,28.677,7.279690057000001
3.0,3.0,29.177,7.249805103
3.0,3.0,29.677,7.212784098999999
3.0,3.0,30.177,7.1756932
3.0,3.0,30.677,7.137939306
3.0,3.0,31.177,7.113406769
3.0,3.0,31.677,7.086994351
3.0,3.0,32.177,7.062826964
3.0,3.0,32.677,7.038434225
3.0,3.0,33.177,7.0201771289999995
3.0,3.0,33.677,7.004706375
3.0,3.0,34.177,6.993759598
3.0,3.0,34.677,6.981577719
3.0,3.0,35.177,6.97175109
3.0,3.0,35.677,6.964930616
3.0,3.0,36.177,6.955421604
3.0,3.0,36.677,6.946015803
3.0,3.0,37.177,6.93853539
3.0,3.0,37.677,6.929835951
3.0,3.0,38.177,6.188669086
4.0,4.0,2.177,23.0568016
4.0,4.0,2.677,23.04937899
4.0,4.0,3.177,23.04661167
4.0,4.0,3.677,23.03823364
4.0,4.0,4.177,23.01658688
4.0,4.0,4.677,22.98270211
4.0,4.0,5.1770000000000005,22.92442286
4.0,4.0,5.6770000000000005,22.88254909
4.0,4.0,6.1770000000000005,22.83723074
4.0,4.0,6.6770000000000005,22.5258345
4.0,4.0,7.1770000000000005,22.05197675
4.0,4.0,7.6770000000000005,21.25286458
4.0,4.0,8.177,20.2178198
4.0,4.0,8.677,18.96650508
4.0,4.0,9.177,17.5858046
4.0,4.0,9.677,16.21500487
4.0,4.0,10.177,15.01546632
4.0,4.0,10.677,13.9679109
4.0,4.0,11.177,13.16528995
4.0,4.0,11.677,12.41543412
4.0,4.0,12.177,11.87596649
4.0,4.0,12.677,11.36722793
4.0,4.0,13.177,10.89368723
4.0,4.0,13.677,10.49100166
4.0,4.0,14.177,10.10889607
4.0,4.0,14.677,9.74414576
4.0,4.0,15.177,9.463381125
4.0,4.0,15.677,9.155747135
4.0,4.0,16.177,8.938560686
4.0,4.0,16.677,8.747514548
4.0,4.0,17.177,8.624124305
4.0,4.0,17.677,8.476831654
4.0,4.0,18.177,8.364019446
4.0,4.0,18.677,8.263141173
4.0,4.0,19.177,8.151720756
4.0,4.0,19.677,8.067148656
4.0,4.0,20.177,7.995153534
4.0,4.0,20.677,7.899948183999999
4.0,4.0,21.177,7.82974944
4.0,4.0,21.677,7.770320332000001
4.0,4.0,22.177,7.714477077000001
4.0,4.0,22.677,7.6762084260000005
4.0,4.0,23.177,7.628989862
4.0,4.0,23.677,7.590622507999999
4.0,4.0,24.177,7.569423114
4.0,4.0,24.677,7.533626474
4.0,4.0,25.177,7.506463577999999
4.0,4.0,25.677,7.473564529
4.0,4.0,26.177,7.436928022999999
4.0,4.0,26.677,7.4062181439999994
4.0,4.0,27.177,7.38424854
4.0,4.0,27.677,7.348097919
4.0,4.0,28.177,7.315652932999999
4.0,4.0,28.677,7.279690057000001
4.0,4.0,29.177,7.249805103
4.0,4.0,29.677,7.212784098999999
4.0,4.0,30.177,7.1756932
4.0,4.0,30.677,7.137939306
4.0,4.0,31.177,7.113406769
4.0,4.0,31.677,7.086994351
4.0,4.0,32.177,7.062826964
4.0,4.0,32.677,7.038434225
4.0,4.0,33.177,7.0201771289999995
4.0,4.0,33.677,7.004706375
4.0,4.0,34.177,6.993759598
4.0,4.0,34.677,6.981577719
4.0,4.0,35.177,6.97175109
4.0,4.0,35.677,6.964930616
4.0,4.0,36.177,6.955421604
4.0,4.0,36.677,6.946015803
4.0,4.0,37.177,6.93853539
4.0,4.0,37.677,6.929835951
4.0,4.0,38.177,6.188669086
5.0,5.0,2.177,23.0568016
5.0,5.0,2.677,23.04937899
5.0,5.0,3.177,23.04661167
5.0,5.0,3.677,23.03823364
5.0,5.0,4.177,23.01658688
5.0,5.0,4.677,22.98270211
5.0,5.0,5.1770000000000005,22.92442286
5.0,5.0,5.6770000000000005,22.88254909
5.0,5.0,6.1770000000000005,22.83723074
5.0,5.0,6.6770000000000005,22.5258345
5.0,5.0,7.1770000000000005,22.05197675
5.0,5.0,7.6770000000000005,21.25286458
5.0,5.0,8.177,20.2178198
5.0,5.0,8.677,18.96650508
5.0,5.0,9.177,17.5858046
5.0,5.0,9.677,16.21500487
5.0,5.0,10.177,15.01546632
5.0,5.0,10.677,13.9679109
5.0,5.0,11.177,13.16528995
5.0,5.0,11.677,12.41543412
5.0,5.0,12.177,11.87596649
5.0,5.0,12.677,11.36722793
5.0,5.0,13.177,10.89368723
5.0,5.0,13.677,10.49100166
5.0,5.0,14.177,10.10889607
5.0,5.0,14.677,9.74414576
5.0,5.0,15.177,9.463381125
5.0,5.0,15.677,9.155747135
5.0,5.0,16.177,8.938560686
5.0,5.0,16.677,8.747514548
5.0,5.0,17.177,8.624124305
5.0,5.0,17.677,8.476831654
5.0,5.0,18.177,8.364019446
5.0,5.0,18.677,8.263141173
5.0,5.0,19.177,8.151720756
5.0,5.0,19.677,8.067148656
5.0,5.0,20.177,7.995153534
5.0,5.0,20.677,7.899948183999999
5.0,5.0,21.177,7.82974944
