,Day,Depth,Temperature
1.0,1.0,2.428,18.66553004
1.0,1.0,2.928,18.48871074
1.0,1.0,3.428,18.25751916
1.0,1.0,3.928,18.025385800000002
1.0,1.0,4.428,17.55872489
1.0,1.0,4.928,16.97506855
1.0,1.0,5.428,16.37130952
1.0,1.0,5.928,15.70251903
1.0,1.0,6.428,14.96614413
1.0,1.0,6.928,14.20837938
1.0,1.0,7.428,13.43490349
1.0,1.0,7.928,12.88938349
1.0,1.0,8.427999999999999,12.38475435
1.0,1.0,8.927999999999999,11.88084457
1.0,1.0,9.427999999999999,11.5073609
1.0,1.0,9.927999999999999,11.24081491
1.0,1.0,10.427999999999999,11.02193103
1.0,1.0,10.927999999999999,10.82607395
1.0,1.0,11.427999999999999,10.61180501
1.0,1.0,11.927999999999999,10.40613499
1.0,1.0,12.427999999999999,10.23269143
1.0,1.0,12.927999999999999,10.096328
1.0,1.0,13.427999999999999,9.978198322
1.0,1.0,13.927999999999999,9.896965612
1.0,1.0,14.427999999999999,9.827270472999999
1.0,1.0,14.927999999999999,9.751104243
1.0,1.0,15.427999999999999,9.685865831000001
1.0,1.0,15.927999999999999,9.634870707000001
1.0,1.0,16.428,9.568444232000001
1.0,1.0,16.928,9.511711748
1.0,1.0,17.428,9.475868735
1.0,1.0,17.928,9.429574575
1.0,1.0,18.428,9.384454562
1.0,1.0,18.928,9.343128819
1.0,1.0,19.428,9.291012235
1.0,1.0,19.928,9.243742408
1.0,1.0,20.428,9.203435844
1.0,1.0,20.928,9.159752655
1.0,1.0,21.428,9.115356393999999
1.0,1.0,21.928,9.073446268
1.0,1.0,22.428,9.039336816
1.0,1.0,22.928,9.000212121
1.0,1.0,23.428,8.95855528
1.0,1.0,23.928,8.922661153
1.0,1.0,24.428,8.888718692000001
1.0,1.0,24.928,8.856528319
1.0,1.0,25.428,8.836242279
1.0,1.0,25.928,8.805809202999999
1.0,1.0,26.428,8.781171573
1.0,1.0,26.928,8.766829168
1.0,1.0,27.428,8.746823066000001
1.0,1.0,27.928,8.7244629
1.0,1.0,28.428,8.710233784
1.0,1.0,28.928,8.69393238
1.0,1.0,29.428,8.672578613999999
1.0,1.0,29.928,8.658992101
1.0,1.0,30.428,8.641213471
1.0,1.0,30.928,8.62294968
1.0,1.0,31.428,8.611382682999999
1.0,1.0,31.928,8.59802357
1.0,1.0,32.428000000000004,8.580048269
1.0,1.0,32.928000000000004,8.565707363
1.0,1.0,33.428000000000004,8.551944877999999
1.0,1.0,33.928000000000004,8.534884312
1.0,1.0,34.428000000000004,8.51644527
1.0,1.0,34.928000000000004,8.499636749
1.0,1.0,35.428000000000004,8.47921421
1.0,1.0,35.928000000000004,8.462543399
1.0,1.0,36.428000000000004,8.44576707
1.0,1.0,36.928000000000004,8.42583744
1.0,1.0,37.428000000000004,8.409894307
1.0,1.0,37.928000000000004,8.39685806
1.0,1.0,38.428000000000004,8.381068106
2.0,2.0,2.428,18.66553004
2.0,2.0,2.928,18.48871074
2.0,2.0,3.428,18.25751916
2.0,2.0,3.928,18.025385800000002
2.0,2.0,4.428,17.55872489
2.0,2.0,4.928,16.97506855
2.0,2.0,5.428,16.37130952
2.0,2.0,5.928,15.70251903
2.0,2.0,6.428,14.96614413
2.0,2.0,6.928,14.20837938
2.0,2.0,7.428,13.43490349
2.0,2.0,7.928,12.88938349
2.0,2.0,8.427999999999999,12.38475435
2.0,2.0,8.927999999999999,11.88084457
2.0,2.0,9.427999999999999,11.5073609
2.0,2.0,9.927999999999999,11.24081491
2.0,2.0,10.427999999999999,11.02193103
2.0,2.0,10.927999999999999,10.82607395
2.0,2.0,11.427999999999999,10.61180501
2.0,2.0,11.927999999999999,10.40613499
2.0,2.0,12.427999999999999,10.23269143
2.0,2.0,12.927999999999999,10.096328
2.0,2.0,13.427999999999999,9.978198322
2.0,2.0,13.927999999999999,9.896965612
2.0,2.0,14.427999999999999,9.827270472999999
2.0,2.0,14.927999999999999,9.751104243
2.0,2.0,15.427999999999999,9.685865831000001
2.0,2.0,15.927999999999999,9.634870707000001
2.0,2.0,16.428,9.568444232000001
2.0,2.0,16.928,9.511711748
2.0,2.0,17.428,9.475868735
2.0,2.0,17.928,9.429574575
2.0,2.0,18.428,9.384454562
2.0,2.0,18.928,9.343128819
2.0,2.0,19.428,9.291012235
2.0,2.0,19.928,9.243742408
2.0,2.0,20.428,9.203435844
2.0,2.0,20.928,9.159752655
2.0,2.0,21.428,9.115356393999999
2.0,2.0,21.928,9.073446268
2.0,2.0,22.428,9.039336816
2.0,2.0,22.928,9.000212121
2.0,2.0,23.428,8.95855528
2.0,2.0,23.928,8.922661153
2.0,2.0,24.428,8.888718692000001
2.0,2.0,24.928,8.856528319
2.0,2.0,25.428,8.836242279
2.0,2.0,25.928,8.805809202999999
2.0,2.0,26.428,8.781171573
2.0,2.0,26.928,8.766829168
2.0,2.0,27.428,8.746823066000001
2.0,2.0,27.928,8.7244629
2.0,2.0,28.428,8.710233784
2.0,2.0,28.928,8.69393238
2.0,2.0,29.428,8.672578613999999
2.0,2.0,29.928,8.658992101
2.0,2.0,30.428,8.641213471
2.0,2.0,30.928,8.62294968
2.0,2.0,31.428,8.611382682999999
2.0,2.0,31.928,8.59802357
2.0,2.0,32.428000000000004,8.580048269
2.0,2.0,32.928000000000004,8.565707363
2.0,2.0,33.428000000000004,8.551944877999999
2.0,2.0,33.928000000000004,8.534884312
2.0,2.0,34.428000000000004,8.51644527
2.0,2.0,34.928000000000004,8.499636749
2.0,2.0,35.428000000000004,8.47921421
2.0,2.0,35.928000000000004,8.462543399
2.0,2.0,36.428000000000004,8.44576707
2.0,2.0,36.928000000000004,8.42583744
2.0,2.0,37.428000000000004,8.409894307
2.0,2.0,37.928000000000004,8.39685806
2.0,2.0,38.428000000000004,8.381068106
