,Day,Depth,Temperature
1.0,1.0,2.191,11.76591377
1.0,1.0,2.6910000000000003,11.74125461
1.0,1.0,3.1910000000000003,11.71113644
1.0,1.0,3.6910000000000003,11.66834364
1.0,1.0,4.191,11.62490316
1.0,1.0,4.691,11.58654805
1.0,1.0,5.191,11.54451099
1.0,1.0,5.691,11.48497217
1.0,1.0,6.191,11.23287792
1.0,1.0,6.691,10.96894791
1.0,1.0,7.191,10.64356661
1.0,1.0,7.691,10.23567342
1.0,1.0,8.191,9.864126499
1.0,1.0,8.691,9.502961143
1.0,1.0,9.191,9.185032607
1.0,1.0,9.691,9.06366982
1.0,1.0,10.191,8.89394989
1.0,1.0,10.690999999999999,8.762459647
1.0,1.0,11.190999999999999,8.712424226
1.0,1.0,11.690999999999999,8.603601974
1.0,1.0,12.190999999999999,8.523468199999998
1.0,1.0,12.690999999999999,8.467045338
1.0,1.0,13.190999999999999,8.39153395
1.0,1.0,13.690999999999999,8.337109502
1.0,1.0,14.190999999999999,8.292712776
1.0,1.0,14.690999999999999,8.233791781
1.0,1.0,15.190999999999999,8.187719025
1.0,1.0,15.690999999999999,8.159110229
1.0,1.0,16.191,8.108883371000001
1.0,1.0,16.691,8.06304619
1.0,1.0,17.191,8.036922802000001
1.0,1.0,17.691,8.007342456
1.0,1.0,18.191,7.971747947999999
1.0,1.0,18.691,7.949403038
2.0,2.0,2.191,11.76591377
2.0,2.0,2.6910000000000003,11.74125461
2.0,2.0,3.1910000000000003,11.71113644
2.0,2.0,3.6910000000000003,11.66834364
2.0,2.0,4.191,11.62490316
2.0,2.0,4.691,11.58654805
2.0,2.0,5.191,11.54451099
2.0,2.0,5.691,11.48497217
2.0,2.0,6.191,11.23287792
2.0,2.0,6.691,10.96894791
2.0,2.0,7.191,10.64356661
2.0,2.0,7.691,10.23567342
2.0,2.0,8.191,9.864126499
2.0,2.0,8.691,9.502961143
2.0,2.0,9.191,9.185032607
2.0,2.0,9.691,9.06366982
2.0,2.0,10.191,8.89394989
2.0,2.0,10.690999999999999,8.762459647
2.0,2.0,11.190999999999999,8.712424226
2.0,2.0,11.690999999999999,8.603601974
2.0,2.0,12.190999999999999,8.523468199999998
2.0,2.0,12.690999999999999,8.467045338
2.0,2.0,13.190999999999999,8.39153395
2.0,2.0,13.690999999999999,8.337109502
2.0,2.0,14.190999999999999,8.292712776
2.0,2.0,14.690999999999999,8.233791781
2.0,2.0,15.190999999999999,8.187719025
2.0,2.0,15.690999999999999,8.159110229
2.0,2.0,16.191,8.108883371000001
2.0,2.0,16.691,8.06304619
2.0,2.0,17.191,8.036922802000001
2.0,2.0,17.691,8.007342456
2.0,2.0,18.191,7.971747947999999
