,Day,Depth,Temperature
1.0,1.0,2.001,16.68408741
1.0,1.0,2.501,16.5944034
1.0,1.0,3.0010000000000003,16.39154512
1.0,1.0,3.5010000000000003,16.07244684
1.0,1.0,4.001,15.61420405
1.0,1.0,4.501,15.22603335
1.0,1.0,5.001,14.84134563
1.0,1.0,5.501,14.3305641
1.0,1.0,6.001,13.79988459
1.0,1.0,6.501,13.42160313
1.0,1.0,7.001,13.06167433
1.0,1.0,7.501,12.67953702
1.0,1.0,8.001,12.15890906
1.0,1.0,8.501,11.77261924
1.0,1.0,9.001,11.48810898
1.0,1.0,9.501,11.30609219
1.0,1.0,10.001,11.04753812
1.0,1.0,10.501,10.78360328
1.0,1.0,11.001,10.61820912
1.0,1.0,11.501,10.46085113
1.0,1.0,12.001,10.21956007
1.0,1.0,12.501,10.05302376
1.0,1.0,13.001,9.822520693
1.0,1.0,13.501,9.669481286
1.0,1.0,14.001,9.585205739
1.0,1.0,14.501,9.486931449
1.0,1.0,15.001,9.411042532
1.0,1.0,15.501,9.370333353
1.0,1.0,16.000999999999998,9.344942435
1.0,1.0,16.500999999999998,9.318995935
1.0,1.0,17.000999999999998,9.264450554
1.0,1.0,17.500999999999998,9.236240659
1.0,1.0,18.000999999999998,9.188840762
1.0,1.0,18.500999999999998,9.131748449
1.0,1.0,19.000999999999998,9.092841269
1.0,1.0,19.500999999999998,9.059003129
1.0,1.0,20.000999999999998,9.020839405
1.0,1.0,20.500999999999998,9.005915633999999
1.0,1.0,21.000999999999998,8.972302177000001
1.0,1.0,21.500999999999998,8.947040994
1.0,1.0,22.000999999999998,8.930007815
1.0,1.0,22.500999999999998,8.88905365
1.0,1.0,23.000999999999998,8.85503755
1.0,1.0,23.500999999999998,8.838762078
1.0,1.0,24.000999999999998,8.803282772000001
1.0,1.0,24.500999999999998,8.769800698
1.0,1.0,25.000999999999998,8.753664917
1.0,1.0,25.500999999999998,8.720304406
1.0,1.0,26.000999999999998,8.692296793999999
1.0,1.0,26.500999999999998,8.676263289
1.0,1.0,27.000999999999998,8.642062677
1.0,1.0,27.500999999999998,8.617073076
1.0,1.0,28.000999999999998,8.600549976
2.0,2.0,2.001,16.68408741
2.0,2.0,2.501,16.5944034
2.0,2.0,3.0010000000000003,16.39154512
2.0,2.0,3.5010000000000003,16.07244684
2.0,2.0,4.001,15.61420405
2.0,2.0,4.501,15.22603335
2.0,2.0,5.001,14.84134563
2.0,2.0,5.501,14.3305641
2.0,2.0,6.001,13.79988459
2.0,2.0,6.501,13.42160313
2.0,2.0,7.001,13.06167433
2.0,2.0,7.501,12.67953702
2.0,2.0,8.001,12.15890906
2.0,2.0,8.501,11.77261924
2.0,2.0,9.001,11.48810898
2.0,2.0,9.501,11.30609219
2.0,2.0,10.001,11.04753812
2.0,2.0,10.501,10.78360328
2.0,2.0,11.001,10.61820912
2.0,2.0,11.501,10.46085113
2.0,2.0,12.001,10.21956007
2.0,2.0,12.501,10.05302376
2.0,2.0,13.001,9.822520693
2.0,2.0,13.501,9.669481286
2.0,2.0,14.001,9.585205739
2.0,2.0,14.501,9.486931449
2.0,2.0,15.001,9.411042532
2.0,2.0,15.501,9.370333353
2.0,2.0,16.000999999999998,9.344942435
2.0,2.0,16.500999999999998,9.318995935
2.0,2.0,17.000999999999998,9.264450554
2.0,2.0,17.500999999999998,9.236240659
2.0,2.0,18.000999999999998,9.188840762
2.0,2.0,18.500999999999998,9.131748449
2.0,2.0,19.000999999999998,9.092841269
2.0,2.0,19.500999999999998,9.059003129
2.0,2.0,20.000999999999998,9.020839405
2.0,2.0,20.500999999999998,9.005915633999999
2.0,2.0,21.000999999999998,8.972302177000001
2.0,2.0,21.500999999999998,8.947040994
2.0,2.0,22.000999999999998,8.930007815
2.0,2.0,22.500999999999998,8.88905365
2.0,2.0,23.000999999999998,8.85503755
2.0,2.0,23.500999999999998,8.838762078
2.0,2.0,24.000999999999998,8.803282772000001
2.0,2.0,24.500999999999998,8.769800698
2.0,2.0,25.000999999999998,8.753664917
2.0,2.0,25.500999999999998,8.720304406
2.0,2.0,26.000999999999998,8.692296793999999
2.0,2.0,26.500999999999998,8.676263289
2.0,2.0,27.000999999999998,8.642062677
2.0,2.0,27.500999999999998,8.617073076
2.0,2.0,28.000999999999998,8.600549976
3.0,3.0,2.001,16.68408741
3.0,3.0,2.501,16.5944034
3.0,3.0,3.0010000000000003,16.39154512
