depth,temp,chla,do,sal,ph
2.016,23.5337461454,0.0271981031381,8.2733035129,0.02,8.08491231074
2.516,23.4841351362,0.0319323458192,8.26063737723,0.02,8.07020209549
3.016,23.4230274191,0.0366343699212,8.23556480488,0.02,8.0191977437
3.516,23.386892292,0.0401955996534,8.23118074811,0.02,8.022779264
4.016,23.3718570847,0.0435265957288,8.21804748286,0.02,8.02411338754
4.516,23.3273732593,0.0462838259383,8.18271114382,0.02,7.98069061066
5.016,23.2522604227,0.0472541442824,8.12854141431,0.02,7.93552453671
5.516,23.2105443983,0.0506969000021,8.1039668139,0.02,7.91560114664
6.016,23.0377048481,0.0496551719398,7.96577633512,0.02,7.85279631767
6.516,22.5951529355,0.047459736013,7.81411968781,0.02,7.81604767424
7.016,21.9708042429,0.0472162787684,7.61749002218,0.02,7.76530305032
7.516,21.0083515715,0.047190541529,7.4005989808,0.02,7.71507215733
8.016,19.6685384714,0.0473925100395,7.2326119048,0.02,7.70023960358
8.516,18.3263571569,0.047939562282,7.07647103248,0.02,7.72561937127
9.016,16.8540343753,0.0480376377749,6.9354653573,0.02,7.65398610806
9.516,15.4115555932,0.0497220744129,6.96757466501,0.02,7.66854435007
10.016,14.1834291813,0.0467463173785,7.01870996256,0.02,7.65052902165
10.516,13.1914341683,0.0435679018219,7.05907448529,0.02,7.64559778131
11.016,12.5297391994,0.0394378487569,7.11266045004,0.02,7.6958378819
11.516,12.0376396597,0.0341034013112,7.17117819955,0.02,7.695496266
12.016,11.5601865475,0.028526874749,7.21049752795,0.02,7.68657765737
12.516,11.1778209366,0.0230274984494,7.25623080437,0.02,7.69889631358
13.016,10.9450340558,0.0174039118153,7.28310006213,0.02,7.68785259483
13.516,10.7463489615,0.0142203373386,7.30592025217,0.02,7.67956906168
14.016,10.4920784474,0.0096514710242,7.35551547063,0.02,7.66574687278
14.516,10.2675311787,0.00611998405341,7.40009767896,0.02,7.65366596725
15.016,10.1666948458,0.0043447527154,7.39193010837,0.02,7.67004228327
15.516,10.0420295758,0.0029548801093,7.42353144194,0.02,7.68137232035
16.016,9.98689831897,0.00186706249665,7.43006975341,0.02,7.72746878384
16.516,9.90651820674,0.00367213956544,7.40055422072,0.02,7.73038010681
17.016,9.82801994021,0.00493090995552,7.4144696566,0.02,7.73972222491
17.516,9.72501489417,0.00685854300272,7.41617670112,0.02,7.71988482813
18.016,9.62546835425,0.00733267206632,7.36088429516,0.02,7.69297173793
18.516,9.54356516346,0.00849203878539,7.31428430192,0.02,7.68237300965
19.016,9.45691685237,0.00945865387325,7.28673449573,0.02,7.66369162103
19.516,9.36981090849,0.00972553663613,7.20217018561,0.02,7.62746645118
20.016,9.32303633441,0.0074534072905,7.17234896895,0.02,7.63210840025
20.516,9.26188683694,0.00719955007132,7.13625770399,0.02,7.62166464542
21.016,9.20673928345,0.00358126333274,7.06018974924,0.02,7.60292318233
21.516,9.17169197457,0.00326982021037,7.01520012149,0.02,7.60363019004
22.016,9.14066663009,0.00399605585545,6.99392017015,0.02,7.60820666104
22.516,9.08927165325,0.00166223908289,6.8656278829,0.02,7.58053616227
23.016,9.06449152824,-0.000802134145748,6.82206238892,0.02,7.58890464002
23.516,9.03943010782,-0.00228436294897,6.80422653458,0.02,7.59464936013
24.016,9.004375155,-0.00427797153263,6.72167825455,0.02,7.58316350783
24.516,8.98004284744,-0.00361663941085,6.5965120563,0.02,7.58725551317
25.016,8.95767675527,-0.00628359073578,6.55134809496,0.02,7.59524696007
25.516,8.9238821023,-0.00862965605597,6.48203246234,0.02,7.59017236307
26.016,8.90315210518,-0.00842809147275,6.32368705695,0.02,7.58972535083
26.516,8.87885870219,-0.00810071561777,6.12632356878,0.02,7.57704777723
27.016,8.85560396492,-0.00835868968691,5.94849996533,0.02,7.56822506391
