,Day,Depth,Temperature
1,1,2.6180000000000003,11.8509247702
1,1,3.1180000000000003,11.614746323199999
1,1,3.6180000000000003,11.4285172408
1,1,4.118,11.228365128699998
1,1,4.618,11.0000933095
1,1,5.118,10.835661207100001
1,1,5.617999999999999,10.7035533082
1,1,6.117999999999999,10.4924113758
1,1,6.617999999999999,10.2317323142
1,1,7.117999999999999,9.97384477235
1,1,7.617999999999999,9.69087596428
1,1,8.118,9.47297161196
1,1,8.618,9.27931571349
1,1,9.118,9.086180687919999
1,1,9.618,8.94146452656
1,1,10.118,8.8369900143
1,1,10.618,8.65872573031
1,1,11.118,8.54813290796
1,1,11.618,8.378889665669998
1,1,12.118,8.26025552238
1,1,12.618,8.21475991973
1,1,13.118,8.16150506587
1,1,13.618,8.07387084529
1,1,14.118,8.02926137076
1,1,14.618,7.991261522060001
1,1,15.118,7.9414531767
1,1,15.618,7.87798742197
1,1,16.118,7.820461026729999
1,1,16.618,7.77162844776
1,1,17.118,7.72964518262
1,1,17.618,7.674731915950001
1,1,18.118,7.6309102908
2,2,2.6180000000000003,11.8509247702
2,2,3.1180000000000003,11.614746323199999
2,2,3.6180000000000003,11.4285172408
2,2,4.118,11.228365128699998
2,2,4.618,11.0000933095
2,2,5.118,10.835661207100001
2,2,5.617999999999999,10.7035533082
2,2,6.117999999999999,10.4924113758
2,2,6.617999999999999,10.2317323142
2,2,7.117999999999999,9.97384477235
2,2,7.617999999999999,9.69087596428
2,2,8.118,9.47297161196
2,2,8.618,9.27931571349
2,2,9.118,9.086180687919999
2,2,9.618,8.94146452656
2,2,10.118,8.8369900143
2,2,10.618,8.65872573031
2,2,11.118,8.54813290796
2,2,11.618,8.378889665669998
2,2,12.118,8.26025552238
2,2,12.618,8.21475991973
2,2,13.118,8.16150506587
2,2,13.618,8.07387084529
2,2,14.118,8.02926137076
2,2,14.618,7.991261522060001
2,2,15.118,7.9414531767
2,2,15.618,7.87798742197
2,2,16.118,7.820461026729999
2,2,16.618,7.77162844776
2,2,17.118,7.72964518262
2,2,17.618,7.674731915950001
2,2,18.118,7.6309102908
3,3,2.6180000000000003,11.8509247702
3,3,3.1180000000000003,11.614746323199999
3,3,3.6180000000000003,11.4285172408
3,3,4.118,11.228365128699998
3,3,4.618,11.0000933095
3,3,5.118,10.835661207100001
3,3,5.617999999999999,10.7035533082
3,3,6.117999999999999,10.4924113758
3,3,6.617999999999999,10.2317323142
3,3,7.117999999999999,9.97384477235
3,3,7.617999999999999,9.69087596428
3,3,8.118,9.47297161196
3,3,8.618,9.27931571349
3,3,9.118,9.086180687919999
3,3,9.618,8.94146452656
3,3,10.118,8.8369900143
3,3,10.618,8.65872573031
3,3,11.118,8.54813290796
3,3,11.618,8.378889665669998
3,3,12.118,8.26025552238
3,3,12.618,8.21475991973
3,3,13.118,8.16150506587
3,3,13.618,8.07387084529
3,3,14.118,8.02926137076
3,3,14.618,7.991261522060001
3,3,15.118,7.9414531767
3,3,15.618,7.87798742197
3,3,16.118,7.820461026729999
3,3,16.618,7.77162844776
3,3,17.118,7.72964518262
3,3,17.618,7.674731915950001
3,3,18.118,7.6309102908
4,4,2.6180000000000003,11.8509247702
4,4,3.1180000000000003,11.614746323199999
4,4,3.6180000000000003,11.4285172408
4,4,4.118,11.228365128699998
4,4,4.618,11.0000933095
4,4,5.118,10.835661207100001
4,4,5.617999999999999,10.7035533082
4,4,6.117999999999999,10.4924113758
4,4,6.617999999999999,10.2317323142
4,4,7.117999999999999,9.97384477235
4,4,7.617999999999999,9.69087596428
4,4,8.118,9.47297161196
4,4,8.618,9.27931571349
4,4,9.118,9.086180687919999
4,4,9.618,8.94146452656
4,4,10.118,8.8369900143
4,4,10.618,8.65872573031
4,4,11.118,8.54813290796
4,4,11.618,8.378889665669998
4,4,12.118,8.26025552238
4,4,12.618,8.21475991973
4,4,13.118,8.16150506587
4,4,13.618,8.07387084529
4,4,14.118,8.02926137076
4,4,14.618,7.991261522060001
4,4,15.118,7.9414531767
