,Day,Depth,Temperature
1,1,2.003,23.470719541599998
1,1,2.503,23.428245515100002
1,1,3.003,23.3714589585
1,1,3.503,23.3259186077
1,1,4.003,23.2255014898
1,1,4.503,23.1135955648
1,1,5.003,23.007866477399997
1,1,5.502999999999999,22.760503383499998
1,1,6.002999999999999,22.4183567038
1,1,6.502999999999999,22.129116678699997
1,1,7.002999999999999,21.668081488000002
1,1,7.502999999999999,21.380861896099997
1,1,8.003,21.0681183519
1,1,8.503,20.6568244676
1,1,9.003,20.1928002704
1,1,9.503,19.77481607
1,1,10.003,19.1815863468
1,1,10.503,18.582491659000002
1,1,11.003,18.0005754646
1,1,11.503,17.4201129666
1,1,12.003,16.8928315605
1,1,12.503,16.6292634273
1,1,13.003,16.278197276700002
1,1,13.503,15.8500864272
1,1,14.003,15.602356323599999
1,1,14.503,15.0996401597
1,1,15.003,14.644433443599999
1,1,15.503,14.351531489600001
1,1,16.003,13.8256966356
1,1,16.503,13.3704062945
1,1,17.003,13.1286405315
1,1,17.503,12.7782241496
1,1,18.003,12.552039929700001
1,1,18.503,12.433406776199998
1,1,19.003,12.2003316161
1,1,19.503,12.0299456696
1,1,20.003,11.9142560299
1,1,20.503,11.710325051099998
1,1,21.003,11.4524544868
1,1,21.503,11.2835535665
1,1,22.003,10.957891961300001
1,1,22.503,10.596896143
1,1,23.003,10.3875692836
1,1,23.503,10.051054828
1,1,24.003,9.70690609872
1,1,24.503,9.49885628899
1,1,25.003,9.17626706347
1,1,25.503,8.97328671242
1,1,26.003,8.83343331388
1,1,26.503,8.60096984103
1,1,27.003,8.44100583508
1,1,27.503,8.38672076897
1,1,28.003,8.21791358481
2,2,2.003,23.470719541599998
2,2,2.503,23.428245515100002
2,2,3.003,23.3714589585
2,2,3.503,23.3259186077
2,2,4.003,23.2255014898
2,2,4.503,23.1135955648
2,2,5.003,23.007866477399997
2,2,5.502999999999999,22.760503383499998
2,2,6.002999999999999,22.4183567038
2,2,6.502999999999999,22.129116678699997
2,2,7.002999999999999,21.668081488000002
2,2,7.502999999999999,21.380861896099997
2,2,8.003,21.0681183519
2,2,8.503,20.6568244676
2,2,9.003,20.1928002704
2,2,9.503,19.77481607
2,2,10.003,19.1815863468
2,2,10.503,18.582491659000002
2,2,11.003,18.0005754646
2,2,11.503,17.4201129666
2,2,12.003,16.8928315605
2,2,12.503,16.6292634273
2,2,13.003,16.278197276700002
2,2,13.503,15.8500864272
2,2,14.003,15.602356323599999
2,2,14.503,15.0996401597
2,2,15.003,14.644433443599999
2,2,15.503,14.351531489600001
2,2,16.003,13.8256966356
2,2,16.503,13.3704062945
2,2,17.003,13.1286405315
2,2,17.503,12.7782241496
2,2,18.003,12.552039929700001
2,2,18.503,12.433406776199998
2,2,19.003,12.2003316161
2,2,19.503,12.0299456696
2,2,20.003,11.9142560299
2,2,20.503,11.710325051099998
2,2,21.003,11.4524544868
2,2,21.503,11.2835535665
2,2,22.003,10.957891961300001
2,2,22.503,10.596896143
2,2,23.003,10.3875692836
2,2,23.503,10.051054828
2,2,24.003,9.70690609872
2,2,24.503,9.49885628899
2,2,25.003,9.17626706347
2,2,25.503,8.97328671242
2,2,26.003,8.83343331388
2,2,26.503,8.60096984103
2,2,27.003,8.44100583508
2,2,27.503,8.38672076897
2,2,28.003,8.21791358481
3,3,2.003,23.470719541599998
3,3,2.503,23.428245515100002
3,3,3.003,23.3714589585
3,3,3.503,23.3259186077
3,3,4.003,23.2255014898
3,3,4.503,23.1135955648
3,3,5.003,23.007866477399997
3,3,5.502999999999999,22.760503383499998
3,3,6.002999999999999,22.4183567038
3,3,6.502999999999999,22.129116678699997
3,3,7.002999999999999,21.668081488000002
3,3,7.502999999999999,21.380861896099997
3,3,8.003,21.0681183519
3,3,8.503,20.6568244676
3,3,9.003,20.1928002704
3,3,9.503,19.77481607
3,3,10.003,19.1815863468
3,3,10.503,18.582491659000002
3,3,11.003,18.0005754646
3,3,11.503,17.4201129666
3,3,12.003,16.8928315605
3,3,12.503,16.6292634273
3,3,13.003,16.278197276700002
3,3,13.503,15.8500864272
3,3,14.003,15.602356323599999
3,3,14.503,15.0996401597
3,3,15.003,14.644433443599999
3,3,15.503,14.351531489600001
3,3,16.003,13.8256966356
3,3,16.503,13.3704062945
3,3,17.003,13.1286405315
3,3,17.503,12.7782241496
3,3,18.003,12.552039929700001
3,3,18.503,12.433406776199998
3,3,19.003,12.2003316161
3,3,19.503,12.0299456696
3,3,20.003,11.9142560299
3,3,20.503,11.710325051099998
3,3,21.003,11.4524544868
3,3,21.503,11.2835535665
3,3,22.003,10.957891961300001
3,3,22.503,10.596896143
3,3,23.003,10.3875692836
3,3,23.503,10.051054828
3,3,24.003,9.70690609872
3,3,24.503,9.49885628899
3,3,25.003,9.17626706347
3,3,25.503,8.97328671242
3,3,26.003,8.83343331388
3,3,26.503,8.60096984103
3,3,27.003,8.44100583508
3,3,27.503,8.38672076897
3,3,28.003,8.21791358481
4,4,2.003,23.470719541599998
4,4,2.503,23.428245515100002
4,4,3.003,23.3714589585
4,4,3.503,23.3259186077
4,4,4.003,23.2255014898
4,4,4.503,23.1135955648
4,4,5.003,23.007866477399997
4,4,5.502999999999999,22.760503383499998
4,4,6.002999999999999,22.4183567038
4,4,6.502999999999999,22.129116678699997
4,4,7.002999999999999,21.668081488000002
4,4,7.502999999999999,21.380861896099997
4,4,8.003,21.0681183519
4,4,8.503,20.6568244676
4,4,9.003,20.1928002704
4,4,9.503,19.77481607
4,4,10.003,19.1815863468
4,4,10.503,18.582491659000002
4,4,11.003,18.0005754646
4,4,11.503,17.4201129666
4,4,12.003,16.8928315605
4,4,12.503,16.6292634273
4,4,13.003,16.278197276700002
4,4,13.503,15.8500864272
4,4,14.003,15.602356323599999
4,4,14.503,15.0996401597
4,4,15.003,14.644433443599999
4,4,15.503,14.351531489600001
4,4,16.003,13.8256966356
4,4,16.503,13.3704062945
4,4,17.003,13.1286405315
4,4,17.503,12.7782241496
4,4,18.003,12.552039929700001
4,4,18.503,12.433406776199998
4,4,19.003,12.2003316161
4,4,19.503,12.0299456696
4,4,20.003,11.9142560299
4,4,20.503,11.710325051099998
4,4,21.003,11.4524544868
4,4,21.503,11.2835535665
4,4,22.003,10.957891961300001
4,4,22.503,10.596896143
4,4,23.003,10.3875692836
4,4,23.503,10.051054828
4,4,24.003,9.70690609872
4,4,24.503,9.49885628899
4,4,25.003,9.17626706347
4,4,25.503,8.97328671242
4,4,26.003,8.83343331388
4,4,26.503,8.60096984103
4,4,27.003,8.44100583508
4,4,27.503,8.38672076897
4,4,28.003,8.21791358481
5,5,2.003,23.470719541599998
5,5,2.503,23.428245515100002
5,5,3.003,23.3714589585
5,5,3.503,23.3259186077
5,5,4.003,23.2255014898
5,5,4.503,23.1135955648
5,5,5.003,23.007866477399997
5,5,5.502999999999999,22.760503383499998
5,5,6.002999999999999,22.4183567038
5,5,6.502999999999999,22.129116678699997
5,5,7.002999999999999,21.668081488000002
5,5,7.502999999999999,21.380861896099997
5,5,8.003,21.0681183519
5,5,8.503,20.6568244676
5,5,9.003,20.1928002704
5,5,9.503,19.77481607
5,5,10.003,19.1815863468
5,5,10.503,18.582491659000002
5,5,11.003,18.0005754646
5,5,11.503,17.4201129666
5,5,12.003,16.8928315605
5,5,12.503,16.6292634273
5,5,13.003,16.278197276700002
5,5,13.503,15.8500864272
5,5,14.003,15.602356323599999
5,5,14.503,15.0996401597
5,5,15.003,14.644433443599999
5,5,15.503,14.351531489600001
5,5,16.003,13.8256966356
5,5,16.503,13.3704062945
5,5,17.003,13.1286405315
5,5,17.503,12.7782241496
5,5,18.003,12.552039929700001
5,5,18.503,12.433406776199998
5,5,19.003,12.2003316161
5,5,19.503,12.0299456696
5,5,20.003,11.9142560299
5,5,20.503,11.710325051099998
5,5,21.003,11.4524544868
5,5,21.503,11.2835535665
5,5,22.003,10.957891961300001
5,5,22.503,10.596896143
5,5,23.003,10.3875692836
5,5,23.503,10.051054828
5,5,24.003,9.70690609872
5,5,24.503,9.49885628899
5,5,25.003,9.17626706347
5,5,25.503,8.97328671242
5,5,26.003,8.83343331388
5,5,26.503,8.60096984103
5,5,27.003,8.44100583508
5,5,27.503,8.38672076897
5,5,28.003,8.21791358481
6,6,2.003,23.470719541599998
6,6,2.503,23.428245515100002
6,6,3.003,23.3714589585
6,6,3.503,23.3259186077
6,6,4.003,23.2255014898
6,6,4.503,23.1135955648
6,6,5.003,23.007866477399997
6,6,5.502999999999999,22.760503383499998
6,6,6.002999999999999,22.4183567038
6,6,6.502999999999999,22.129116678699997
6,6,7.002999999999999,21.668081488000002
6,6,7.502999999999999,21.380861896099997
6,6,8.003,21.0681183519
6,6,8.503,20.6568244676
6,6,9.003,20.1928002704
6,6,9.503,19.77481607
6,6,10.003,19.1815863468
6,6,10.503,18.582491659000002
6,6,11.003,18.0005754646
6,6,11.503,17.4201129666
6,6,12.003,16.8928315605
6,6,12.503,16.6292634273
6,6,13.003,16.278197276700002
6,6,13.503,15.8500864272
6,6,14.003,15.602356323599999
6,6,14.503,15.0996401597
6,6,15.003,14.644433443599999
6,6,15.503,14.351531489600001
6,6,16.003,13.8256966356
6,6,16.503,13.3704062945
6,6,17.003,13.1286405315
6,6,17.503,12.7782241496
6,6,18.003,12.552039929700001
6,6,18.503,12.433406776199998
6,6,19.003,12.2003316161
6,6,19.503,12.0299456696
6,6,20.003,11.9142560299
6,6,20.503,11.710325051099998
6,6,21.003,11.4524544868
6,6,21.503,11.2835535665
6,6,22.003,10.957891961300001
6,6,22.503,10.596896143
6,6,23.003,10.3875692836
6,6,23.503,10.051054828
6,6,24.003,9.70690609872
6,6,24.503,9.49885628899
6,6,25.003,9.17626706347
6,6,25.503,8.97328671242
6,6,26.003,8.83343331388
6,6,26.503,8.60096984103
6,6,27.003,8.44100583508
6,6,27.503,8.38672076897
6,6,28.003,8.21791358481
7,7,2.003,23.470719541599998
7,7,2.503,23.428245515100002
7,7,3.003,23.3714589585
7,7,3.503,23.3259186077
7,7,4.003,23.2255014898
7,7,4.503,23.1135955648
7,7,5.003,23.007866477399997
7,7,5.502999999999999,22.760503383499998
7,7,6.002999999999999,22.4183567038
7,7,6.502999999999999,22.129116678699997
7,7,7.002999999999999,21.668081488000002
7,7,7.502999999999999,21.380861896099997
7,7,8.003,21.0681183519
7,7,8.503,20.6568244676
7,7,9.003,20.1928002704
7,7,9.503,19.77481607
7,7,10.003,19.1815863468
7,7,10.503,18.582491659000002
7,7,11.003,18.0005754646
7,7,11.503,17.4201129666
7,7,12.003,16.8928315605
7,7,12.503,16.6292634273
7,7,13.003,16.278197276700002
7,7,13.503,15.8500864272
7,7,14.003,15.602356323599999
7,7,14.503,15.0996401597
7,7,15.003,14.644433443599999
7,7,15.503,14.351531489600001
7,7,16.003,13.8256966356
7,7,16.503,13.3704062945
7,7,17.003,13.1286405315
7,7,17.503,12.7782241496
7,7,18.003,12.552039929700001
7,7,18.503,12.433406776199998
7,7,19.003,12.2003316161
7,7,19.503,12.0299456696
7,7,20.003,11.9142560299
7,7,20.503,11.710325051099998
7,7,21.003,11.4524544868
7,7,21.503,11.2835535665
7,7,22.003,10.957891961300001
7,7,22.503,10.596896143
7,7,23.003,10.3875692836
7,7,23.503,10.051054828
7,7,24.003,9.70690609872
7,7,24.503,9.49885628899
7,7,25.003,9.17626706347
7,7,25.503,8.97328671242
7,7,26.003,8.83343331388
7,7,26.503,8.60096984103
7,7,27.003,8.44100583508
7,7,27.503,8.38672076897
7,7,28.003,8.21791358481
8,8,2.003,23.470719541599998
8,8,2.503,23.428245515100002
8,8,3.003,23.3714589585
8,8,3.503,23.3259186077
8,8,4.003,23.2255014898
8,8,4.503,23.1135955648
8,8,5.003,23.007866477399997
8,8,5.502999999999999,22.760503383499998
8,8,6.002999999999999,22.4183567038
8,8,6.502999999999999,22.129116678699997
8,8,7.002999999999999,21.668081488000002
8,8,7.502999999999999,21.380861896099997
8,8,8.003,21.0681183519
8,8,8.503,20.6568244676
8,8,9.003,20.1928002704
8,8,9.503,19.77481607
8,8,10.003,19.1815863468
8,8,10.503,18.582491659000002
8,8,11.003,18.0005754646
8,8,11.503,17.4201129666
8,8,12.003,16.8928315605
8,8,12.503,16.6292634273
8,8,13.003,16.278197276700002
8,8,13.503,15.8500864272
8,8,14.003,15.602356323599999
8,8,14.503,15.0996401597
8,8,15.003,14.644433443599999
8,8,15.503,14.351531489600001
8,8,16.003,13.8256966356
8,8,16.503,13.3704062945
8,8,17.003,13.1286405315
8,8,17.503,12.7782241496
8,8,18.003,12.552039929700001
8,8,18.503,12.433406776199998
8,8,19.003,12.2003316161
8,8,19.503,12.0299456696
8,8,20.003,11.9142560299
8,8,20.503,11.710325051099998
8,8,21.003,11.4524544868
8,8,21.503,11.2835535665
8,8,22.003,10.957891961300001
8,8,22.503,10.596896143
8,8,23.003,10.3875692836
8,8,23.503,10.051054828
8,8,24.003,9.70690609872
8,8,24.503,9.49885628899
8,8,25.003,9.17626706347
8,8,25.503,8.97328671242
8,8,26.003,8.83343331388
8,8,26.503,8.60096984103
8,8,27.003,8.44100583508
8,8,27.503,8.38672076897
8,8,28.003,8.21791358481
9,9,2.003,23.470719541599998
9,9,2.503,23.428245515100002
9,9,3.003,23.3714589585
9,9,3.503,23.3259186077
9,9,4.003,23.2255014898
9,9,4.503,23.1135955648
9,9,5.003,23.007866477399997
9,9,5.502999999999999,22.760503383499998
9,9,6.002999999999999,22.4183567038
9,9,6.502999999999999,22.129116678699997
9,9,7.002999999999999,21.668081488000002
9,9,7.502999999999999,21.380861896099997
9,9,8.003,21.0681183519
9,9,8.503,20.6568244676
9,9,9.003,20.1928002704
9,9,9.503,19.77481607
9,9,10.003,19.1815863468
9,9,10.503,18.582491659000002
9,9,11.003,18.0005754646
9,9,11.503,17.4201129666
9,9,12.003,16.8928315605
9,9,12.503,16.6292634273
9,9,13.003,16.278197276700002
9,9,13.503,15.8500864272
9,9,14.003,15.602356323599999
9,9,14.503,15.0996401597
9,9,15.003,14.644433443599999
9,9,15.503,14.351531489600001
9,9,16.003,13.8256966356
9,9,16.503,13.3704062945
9,9,17.003,13.1286405315
9,9,17.503,12.7782241496
9,9,18.003,12.552039929700001
9,9,18.503,12.433406776199998
9,9,19.003,12.2003316161
9,9,19.503,12.0299456696
9,9,20.003,11.9142560299
9,9,20.503,11.710325051099998
9,9,21.003,11.4524544868
9,9,21.503,11.2835535665
9,9,22.003,10.957891961300001
9,9,22.503,10.596896143
9,9,23.003,10.3875692836
9,9,23.503,10.051054828
9,9,24.003,9.70690609872
9,9,24.503,9.49885628899
9,9,25.003,9.17626706347
9,9,25.503,8.97328671242
9,9,26.003,8.83343331388
9,9,26.503,8.60096984103
9,9,27.003,8.44100583508
9,9,27.503,8.38672076897
9,9,28.003,8.21791358481
10,10,2.003,23.470719541599998
10,10,2.503,23.428245515100002
10,10,3.003,23.3714589585
10,10,3.503,23.3259186077
10,10,4.003,23.2255014898
10,10,4.503,23.1135955648
10,10,5.003,23.007866477399997
10,10,5.502999999999999,22.760503383499998
10,10,6.002999999999999,22.4183567038
10,10,6.502999999999999,22.129116678699997
10,10,7.002999999999999,21.668081488000002
10,10,7.502999999999999,21.380861896099997
10,10,8.003,21.0681183519
10,10,8.503,20.6568244676
10,10,9.003,20.1928002704
10,10,9.503,19.77481607
10,10,10.003,19.1815863468
10,10,10.503,18.582491659000002
10,10,11.003,18.0005754646
10,10,11.503,17.4201129666
10,10,12.003,16.8928315605
10,10,12.503,16.6292634273
10,10,13.003,16.278197276700002
10,10,13.503,15.8500864272
10,10,14.003,15.602356323599999
10,10,14.503,15.0996401597
10,10,15.003,14.644433443599999
10,10,15.503,14.351531489600001
10,10,16.003,13.8256966356
10,10,16.503,13.3704062945
10,10,17.003,13.1286405315
10,10,17.503,12.7782241496
10,10,18.003,12.552039929700001
10,10,18.503,12.433406776199998
10,10,19.003,12.2003316161
10,10,19.503,12.0299456696
10,10,20.003,11.9142560299
10,10,20.503,11.710325051099998
10,10,21.003,11.4524544868
10,10,21.503,11.2835535665
10,10,22.003,10.957891961300001
10,10,22.503,10.596896143
10,10,23.003,10.3875692836
10,10,23.503,10.051054828
10,10,24.003,9.70690609872
10,10,24.503,9.49885628899
10,10,25.003,9.17626706347
10,10,25.503,8.97328671242
10,10,26.003,8.83343331388
10,10,26.503,8.60096984103
10,10,27.003,8.44100583508
10,10,27.503,8.38672076897
10,10,28.003,8.21791358481
11,11,2.003,23.470719541599998
11,11,2.503,23.428245515100002
11,11,3.003,23.3714589585
11,11,3.503,23.3259186077
11,11,4.003,23.2255014898
11,11,4.503,23.1135955648
11,11,5.003,23.007866477399997
11,11,5.502999999999999,22.760503383499998
11,11,6.002999999999999,22.4183567038
11,11,6.502999999999999,22.129116678699997
11,11,7.002999999999999,21.668081488000002
11,11,7.502999999999999,21.380861896099997
11,11,8.003,21.0681183519
11,11,8.503,20.6568244676
11,11,9.003,20.1928002704
11,11,9.503,19.77481607
11,11,10.003,19.1815863468
11,11,10.503,18.582491659000002
11,11,11.003,18.0005754646
11,11,11.503,17.4201129666
11,11,12.003,16.8928315605
11,11,12.503,16.6292634273
11,11,13.003,16.278197276700002
11,11,13.503,15.8500864272
11,11,14.003,15.602356323599999
11,11,14.503,15.0996401597
11,11,15.003,14.644433443599999
11,11,15.503,14.351531489600001
11,11,16.003,13.8256966356
11,11,16.503,13.3704062945
11,11,17.003,13.1286405315
11,11,17.503,12.7782241496
11,11,18.003,12.552039929700001
