,Day,Depth,Temperature
1,1,2.292,19.0561359956
1,1,2.792,18.9379268154
1,1,3.292,18.900118707
1,1,3.792,18.883525952
1,1,4.292,18.8569598129
1,1,4.792,18.8404843754
1,1,5.292000000000001,18.8197053224
1,1,5.792000000000001,18.7637885472
1,1,6.292000000000001,18.6960036139
1,1,6.792000000000001,18.5030838672
1,1,7.292000000000001,18.1790802169
1,1,7.792000000000001,17.8109382255
1,1,8.292,17.3133813462
1,1,8.792,16.7217156136
1,1,9.292,16.2290039063
1,1,9.792,15.689976144300001
1,1,10.292,15.27922099
1,1,10.792,14.9747709908
1,1,11.292,14.7614536252
1,1,11.792,14.5970017319
1,1,12.292,14.473439474300001
1,1,12.792,14.2304912693
1,1,13.292,14.025392661300002
1,1,13.792,13.7313525049
1,1,14.292,13.4934371947
1,1,14.792,13.2635124624
1,1,15.292,13.1254163594
1,1,15.792,12.986001205099999
1,1,16.292,12.8187830824
1,1,16.792,12.5560970032
1,1,17.292,12.3479596521
1,1,17.792,12.0278714046
1,1,18.292,11.641686483299999
1,1,18.792,11.2758292219
1,1,19.292,11.010929165
1,1,19.792,10.7780833132
1,1,20.292,10.5571916736
1,1,20.791999999999998,10.253556696
1,1,21.291999999999998,10.005866725
1,1,21.791999999999998,9.769976357120001
1,1,22.291999999999998,9.49537035879
1,1,22.791999999999998,9.23237439279
1,1,23.291999999999998,8.98057408109
1,1,23.791999999999998,8.72219824712
1,1,24.291999999999998,8.447058065510001
1,1,24.791999999999998,8.1903515779
1,1,25.291999999999998,7.9546632362
1,1,25.791999999999998,7.733835951360001
1,1,26.291999999999998,7.519486865519999
1,1,26.791999999999998,7.3542025562
1,1,27.291999999999998,7.214065065639999
1,1,27.791999999999998,7.090749328110001
1,1,28.291999999999998,6.92881144876
1,1,28.791999999999998,6.8043094049
1,1,29.291999999999998,6.7270108529699995
1,1,29.791999999999998,6.61993204092
1,1,30.291999999999998,6.557795467030001
1,1,30.791999999999998,6.50499787296
1,1,31.291999999999998,6.43970447191
1,1,31.791999999999998,6.35690928002
1,1,32.292,6.30320695201
1,1,32.792,6.214079680449999
1,1,33.292,6.127174835240001
1,1,33.792,6.07460641982
1,1,34.292,6.04675999534
1,1,34.792,5.99887258679
1,1,35.292,5.9725258526
1,1,35.792,5.93223171995
1,1,36.292,5.8837087515199995
1,1,36.792,5.83319200765
1,1,37.292,5.78181169839
1,1,37.792,5.73681355694
1,1,38.292,5.69473014337
2,2,2.292,19.0561359956
2,2,2.792,18.9379268154
2,2,3.292,18.900118707
2,2,3.792,18.883525952
2,2,4.292,18.8569598129
2,2,4.792,18.8404843754
2,2,5.292000000000001,18.8197053224
2,2,5.792000000000001,18.7637885472
2,2,6.292000000000001,18.6960036139
2,2,6.792000000000001,18.5030838672
2,2,7.292000000000001,18.1790802169
2,2,7.792000000000001,17.8109382255
2,2,8.292,17.3133813462
2,2,8.792,16.7217156136
2,2,9.292,16.2290039063
2,2,9.792,15.689976144300001
2,2,10.292,15.27922099
2,2,10.792,14.9747709908
2,2,11.292,14.7614536252
2,2,11.792,14.5970017319
2,2,12.292,14.473439474300001
2,2,12.792,14.2304912693
2,2,13.292,14.025392661300002
2,2,13.792,13.7313525049
2,2,14.292,13.4934371947
2,2,14.792,13.2635124624
2,2,15.292,13.1254163594
2,2,15.792,12.986001205099999
2,2,16.292,12.8187830824
2,2,16.792,12.5560970032
2,2,17.292,12.3479596521
2,2,17.792,12.0278714046
2,2,18.292,11.641686483299999
2,2,18.792,11.2758292219
2,2,19.292,11.010929165
2,2,19.792,10.7780833132
2,2,20.292,10.5571916736
2,2,20.791999999999998,10.253556696
2,2,21.291999999999998,10.005866725
2,2,21.791999999999998,9.769976357120001
2,2,22.291999999999998,9.49537035879
2,2,22.791999999999998,9.23237439279
2,2,23.291999999999998,8.98057408109
2,2,23.791999999999998,8.72219824712
2,2,24.291999999999998,8.447058065510001
2,2,24.791999999999998,8.1903515779
2,2,25.291999999999998,7.9546632362
2,2,25.791999999999998,7.733835951360001
2,2,26.291999999999998,7.519486865519999
2,2,26.791999999999998,7.3542025562
2,2,27.291999999999998,7.214065065639999
2,2,27.791999999999998,7.090749328110001
2,2,28.291999999999998,6.92881144876
2,2,28.791999999999998,6.8043094049
2,2,29.291999999999998,6.7270108529699995
2,2,29.791999999999998,6.61993204092
2,2,30.291999999999998,6.557795467030001
2,2,30.791999999999998,6.50499787296
2,2,31.291999999999998,6.43970447191
2,2,31.791999999999998,6.35690928002
2,2,32.292,6.30320695201
2,2,32.792,6.214079680449999
2,2,33.292,6.127174835240001
2,2,33.792,6.07460641982
2,2,34.292,6.04675999534
2,2,34.792,5.99887258679
2,2,35.292,5.9725258526
2,2,35.792,5.93223171995
2,2,36.292,5.8837087515199995
2,2,36.792,5.83319200765
2,2,37.292,5.78181169839
2,2,37.792,5.73681355694
2,2,38.292,5.69473014337
3,3,2.292,19.0561359956
3,3,2.792,18.9379268154
3,3,3.292,18.900118707
3,3,3.792,18.883525952
3,3,4.292,18.8569598129
3,3,4.792,18.8404843754
3,3,5.292000000000001,18.8197053224
3,3,5.792000000000001,18.7637885472
3,3,6.292000000000001,18.6960036139
3,3,6.792000000000001,18.5030838672
3,3,7.292000000000001,18.1790802169
3,3,7.792000000000001,17.8109382255
3,3,8.292,17.3133813462
3,3,8.792,16.7217156136
3,3,9.292,16.2290039063
3,3,9.792,15.689976144300001
3,3,10.292,15.27922099
3,3,10.792,14.9747709908
3,3,11.292,14.7614536252
3,3,11.792,14.5970017319
3,3,12.292,14.473439474300001
3,3,12.792,14.2304912693
3,3,13.292,14.025392661300002
3,3,13.792,13.7313525049
3,3,14.292,13.4934371947
3,3,14.792,13.2635124624
3,3,15.292,13.1254163594
3,3,15.792,12.986001205099999
3,3,16.292,12.8187830824
3,3,16.792,12.5560970032
3,3,17.292,12.3479596521
3,3,17.792,12.0278714046
3,3,18.292,11.641686483299999
3,3,18.792,11.2758292219
3,3,19.292,11.010929165
3,3,19.792,10.7780833132
3,3,20.292,10.5571916736
3,3,20.791999999999998,10.253556696
3,3,21.291999999999998,10.005866725
3,3,21.791999999999998,9.769976357120001
3,3,22.291999999999998,9.49537035879
3,3,22.791999999999998,9.23237439279
3,3,23.291999999999998,8.98057408109
3,3,23.791999999999998,8.72219824712
3,3,24.291999999999998,8.447058065510001
3,3,24.791999999999998,8.1903515779
3,3,25.291999999999998,7.9546632362
3,3,25.791999999999998,7.733835951360001
3,3,26.291999999999998,7.519486865519999
3,3,26.791999999999998,7.3542025562
3,3,27.291999999999998,7.214065065639999
3,3,27.791999999999998,7.090749328110001
3,3,28.291999999999998,6.92881144876
3,3,28.791999999999998,6.8043094049
3,3,29.291999999999998,6.7270108529699995
3,3,29.791999999999998,6.61993204092
3,3,30.291999999999998,6.557795467030001
3,3,30.791999999999998,6.50499787296
3,3,31.291999999999998,6.43970447191
3,3,31.791999999999998,6.35690928002
3,3,32.292,6.30320695201
3,3,32.792,6.214079680449999
3,3,33.292,6.127174835240001
3,3,33.792,6.07460641982
3,3,34.292,6.04675999534
3,3,34.792,5.99887258679
3,3,35.292,5.9725258526
3,3,35.792,5.93223171995
3,3,36.292,5.8837087515199995
3,3,36.792,5.83319200765
3,3,37.292,5.78181169839
3,3,37.792,5.73681355694
3,3,38.292,5.69473014337
4,4,2.292,19.0561359956
4,4,2.792,18.9379268154
4,4,3.292,18.900118707
4,4,3.792,18.883525952
4,4,4.292,18.8569598129
4,4,4.792,18.8404843754
4,4,5.292000000000001,18.8197053224
4,4,5.792000000000001,18.7637885472
4,4,6.292000000000001,18.6960036139
4,4,6.792000000000001,18.5030838672
4,4,7.292000000000001,18.1790802169
4,4,7.792000000000001,17.8109382255
4,4,8.292,17.3133813462
4,4,8.792,16.7217156136
4,4,9.292,16.2290039063
4,4,9.792,15.689976144300001
4,4,10.292,15.27922099
4,4,10.792,14.9747709908
4,4,11.292,14.7614536252
4,4,11.792,14.5970017319
4,4,12.292,14.473439474300001
4,4,12.792,14.2304912693
4,4,13.292,14.025392661300002
4,4,13.792,13.7313525049
4,4,14.292,13.4934371947
4,4,14.792,13.2635124624
4,4,15.292,13.1254163594
4,4,15.792,12.986001205099999
4,4,16.292,12.8187830824
4,4,16.792,12.5560970032
4,4,17.292,12.3479596521
4,4,17.792,12.0278714046
4,4,18.292,11.641686483299999
4,4,18.792,11.2758292219
4,4,19.292,11.010929165
4,4,19.792,10.7780833132
4,4,20.292,10.5571916736
4,4,20.791999999999998,10.253556696
4,4,21.291999999999998,10.005866725
4,4,21.791999999999998,9.769976357120001
4,4,22.291999999999998,9.49537035879
4,4,22.791999999999998,9.23237439279
4,4,23.291999999999998,8.98057408109
4,4,23.791999999999998,8.72219824712
4,4,24.291999999999998,8.447058065510001
4,4,24.791999999999998,8.1903515779
4,4,25.291999999999998,7.9546632362
4,4,25.791999999999998,7.733835951360001
4,4,26.291999999999998,7.519486865519999
4,4,26.791999999999998,7.3542025562
4,4,27.291999999999998,7.214065065639999
4,4,27.791999999999998,7.090749328110001
4,4,28.291999999999998,6.92881144876
4,4,28.791999999999998,6.8043094049
4,4,29.291999999999998,6.7270108529699995
4,4,29.791999999999998,6.61993204092
4,4,30.291999999999998,6.557795467030001
