,Day,Depth,Temperature
1,1,2.059,11.2623417268
1,1,2.559,10.9221270811
1,1,3.0589999999999997,10.5376273436
1,1,3.5589999999999997,10.146121384099999
1,1,4.059,9.734956768930001
1,1,4.559,9.34883432858
1,1,5.059,8.95687822709
1,1,5.559,8.724526967020001
1,1,6.059,8.54184714938
1,1,6.559,8.414122598110001
1,1,7.059,8.227870609360002
1,1,7.559,8.09111401037
1,1,8.059,8.02407452029
1,1,8.559,7.938980244760001
1,1,9.059,7.84714867766
1,1,9.559,7.817134245960001
1,1,10.059,7.764708364319999
1,1,10.559000000000001,7.721387515139999
1,1,11.059000000000001,7.69400286273
1,1,11.559000000000001,7.66519807617
1,1,12.059000000000001,7.63301669917
1,1,12.559000000000001,7.60190566757
1,1,13.059000000000001,7.55478828254
1,1,13.559000000000001,7.487139992060001
1,1,14.059000000000001,7.45461683882
1,1,14.559000000000001,7.38061078457
1,1,15.059000000000001,7.273055632979999
1,1,15.559000000000001,7.20436584791
1,1,16.059,7.11012990162
1,1,16.559,7.00791820371
1,1,17.059,6.94888560305
1,1,17.559,6.877921903160001
1,1,18.059,6.835514230399999
1,1,18.559,6.79170166364
1,1,19.059,6.7175577225300005
1,1,19.559,6.665476706259999
1,1,20.059,6.61637700337
1,1,20.559,6.530141919349999
1,1,21.059,6.458189448530001
1,1,21.559,6.4116618042699995
1,1,22.059,6.36940209469
1,1,22.559,6.3276119805599995
1,1,23.059,6.295887234419999
2,2,2.059,11.2623417268
2,2,2.559,10.9221270811
2,2,3.0589999999999997,10.5376273436
2,2,3.5589999999999997,10.146121384099999
2,2,4.059,9.734956768930001
2,2,4.559,9.34883432858
2,2,5.059,8.95687822709
2,2,5.559,8.724526967020001
2,2,6.059,8.54184714938
2,2,6.559,8.414122598110001
2,2,7.059,8.227870609360002
2,2,7.559,8.09111401037
2,2,8.059,8.02407452029
2,2,8.559,7.938980244760001
2,2,9.059,7.84714867766
2,2,9.559,7.817134245960001
2,2,10.059,7.764708364319999
2,2,10.559000000000001,7.721387515139999
2,2,11.059000000000001,7.69400286273
2,2,11.559000000000001,7.66519807617
2,2,12.059000000000001,7.63301669917
2,2,12.559000000000001,7.60190566757
2,2,13.059000000000001,7.55478828254
2,2,13.559000000000001,7.487139992060001
2,2,14.059000000000001,7.45461683882
2,2,14.559000000000001,7.38061078457
2,2,15.059000000000001,7.273055632979999
2,2,15.559000000000001,7.20436584791
2,2,16.059,7.11012990162
2,2,16.559,7.00791820371
2,2,17.059,6.94888560305
2,2,17.559,6.877921903160001
2,2,18.059,6.835514230399999
2,2,18.559,6.79170166364
2,2,19.059,6.7175577225300005
2,2,19.559,6.665476706259999
2,2,20.059,6.61637700337
2,2,20.559,6.530141919349999
2,2,21.059,6.458189448530001
2,2,21.559,6.4116618042699995
2,2,22.059,6.36940209469
2,2,22.559,6.3276119805599995
2,2,23.059,6.295887234419999
3,3,2.059,11.2623417268
3,3,2.559,10.9221270811
3,3,3.0589999999999997,10.5376273436
3,3,3.5589999999999997,10.146121384099999
3,3,4.059,9.734956768930001
3,3,4.559,9.34883432858
3,3,5.059,8.95687822709
3,3,5.559,8.724526967020001
3,3,6.059,8.54184714938
3,3,6.559,8.414122598110001
3,3,7.059,8.227870609360002
3,3,7.559,8.09111401037
3,3,8.059,8.02407452029
3,3,8.559,7.938980244760001
3,3,9.059,7.84714867766
3,3,9.559,7.817134245960001
3,3,10.059,7.764708364319999
3,3,10.559000000000001,7.721387515139999
3,3,11.059000000000001,7.69400286273
3,3,11.559000000000001,7.66519807617
3,3,12.059000000000001,7.63301669917
3,3,12.559000000000001,7.60190566757
3,3,13.059000000000001,7.55478828254
3,3,13.559000000000001,7.487139992060001
3,3,14.059000000000001,7.45461683882
3,3,14.559000000000001,7.38061078457
3,3,15.059000000000001,7.273055632979999
3,3,15.559000000000001,7.20436584791
3,3,16.059,7.11012990162
3,3,16.559,7.00791820371
3,3,17.059,6.94888560305
3,3,17.559,6.877921903160001
3,3,18.059,6.835514230399999
3,3,18.559,6.79170166364
3,3,19.059,6.7175577225300005
3,3,19.559,6.665476706259999
3,3,20.059,6.61637700337
3,3,20.559,6.530141919349999
3,3,21.059,6.458189448530001
3,3,21.559,6.4116618042699995
3,3,22.059,6.36940209469
3,3,22.559,6.3276119805599995
3,3,23.059,6.295887234419999
4,4,2.059,11.2623417268
4,4,2.559,10.9221270811
4,4,3.0589999999999997,10.5376273436
4,4,3.5589999999999997,10.146121384099999
4,4,4.059,9.734956768930001
4,4,4.559,9.34883432858
4,4,5.059,8.95687822709
4,4,5.559,8.724526967020001
4,4,6.059,8.54184714938
4,4,6.559,8.414122598110001
4,4,7.059,8.227870609360002
4,4,7.559,8.09111401037
4,4,8.059,8.02407452029
4,4,8.559,7.938980244760001
4,4,9.059,7.84714867766
4,4,9.559,7.817134245960001
4,4,10.059,7.764708364319999
4,4,10.559000000000001,7.721387515139999
4,4,11.059000000000001,7.69400286273
4,4,11.559000000000001,7.66519807617
4,4,12.059000000000001,7.63301669917
4,4,12.559000000000001,7.60190566757
4,4,13.059000000000001,7.55478828254
4,4,13.559000000000001,7.487139992060001
4,4,14.059000000000001,7.45461683882
4,4,14.559000000000001,7.38061078457
4,4,15.059000000000001,7.273055632979999
4,4,15.559000000000001,7.20436584791
4,4,16.059,7.11012990162
4,4,16.559,7.00791820371
4,4,17.059,6.94888560305
4,4,17.559,6.877921903160001
4,4,18.059,6.835514230399999
4,4,18.559,6.79170166364
4,4,19.059,6.7175577225300005
4,4,19.559,6.665476706259999
4,4,20.059,6.61637700337
4,4,20.559,6.530141919349999
4,4,21.059,6.458189448530001
4,4,21.559,6.4116618042699995
4,4,22.059,6.36940209469
4,4,22.559,6.3276119805599995
4,4,23.059,6.295887234419999
5,5,2.059,11.2623417268
5,5,2.559,10.9221270811
5,5,3.0589999999999997,10.5376273436
5,5,3.5589999999999997,10.146121384099999
5,5,4.059,9.734956768930001
5,5,4.559,9.34883432858
5,5,5.059,8.95687822709
5,5,5.559,8.724526967020001
5,5,6.059,8.54184714938
5,5,6.559,8.414122598110001
5,5,7.059,8.227870609360002
5,5,7.559,8.09111401037
5,5,8.059,8.02407452029
5,5,8.559,7.938980244760001
5,5,9.059,7.84714867766
