,Day,Depth,Temperature
1,1,2.001,21.8416015562
1,1,2.501,21.8145934544
1,1,3.0010000000000003,21.7876974516
1,1,3.5010000000000003,21.7639168994
1,1,4.001,21.7385961885
1,1,4.501,21.7169609274
1,1,5.001,21.6990974422
1,1,5.501,21.686069411
1,1,6.001,21.6278524658
1,1,6.501,21.5775972379
1,1,7.001,21.497263601599997
1,1,7.501,21.3601540206
1,1,8.001,21.136397034
1,1,8.501,20.7595332296
1,1,9.001,20.229477034400002
1,1,9.501,19.7095802152
1,1,10.001,19.1237124314
1,1,10.501,18.5070171255
1,1,11.001,17.979427300999998
1,1,11.501,17.5513146469
1,1,12.001,17.228355035
1,1,12.501,16.986145550899998
1,1,13.001,16.760150801800002
1,1,13.501,16.587182443699998
1,1,14.001,16.4811937729
1,1,14.501,16.3649476048
1,1,15.001,16.252658364600002
1,1,15.501,16.1782522159
1,1,16.000999999999998,16.1044922552
1,1,16.500999999999998,16.0033192401
1,1,17.000999999999998,15.91031106
1,1,17.500999999999998,15.8181124525
1,1,18.000999999999998,15.739901675499999
1,1,18.500999999999998,15.6727488496
1,1,19.000999999999998,15.5991834547
1,1,19.500999999999998,15.515446708199999
1,1,20.000999999999998,15.4524584853
1,1,20.500999999999998,15.394359769400001
1,1,21.000999999999998,15.3241708235
1,1,21.500999999999998,15.2542207459
1,1,22.000999999999998,15.171851411099999
1,1,22.500999999999998,15.098973172
1,1,23.000999999999998,15.0369185394
1,1,23.500999999999998,14.9467194416
1,1,24.000999999999998,14.847183904100001
1,1,24.500999999999998,14.771344032
1,1,25.000999999999998,14.6630094277
1,1,25.500999999999998,14.5726188776
1,1,26.000999999999998,14.4804880128
1,1,26.500999999999998,14.3973151348
1,1,27.000999999999998,14.3212089732
1,1,27.500999999999998,14.245571136199999
1,1,28.000999999999998,14.165733875199999
1,1,28.500999999999998,14.090742649300001
1,1,29.000999999999998,14.0111903333
1,1,29.500999999999998,13.9373600891
1,1,30.000999999999998,13.849632489500001
1,1,30.500999999999998,13.7438659364
1,1,31.000999999999998,13.6625568533
1,1,31.500999999999998,13.556364849500001
1,1,32.001,13.4384838941
1,1,32.501,13.2867779465
1,1,33.001,13.1617544012
1,1,33.501,13.0277984394
1,1,34.001,12.8848518597
1,1,34.501,12.7391466878
1,1,35.001,12.5991253425
1,1,35.501,12.456995270899998
1,1,36.001,12.3403369221
1,1,36.501,12.182992108399999
1,1,37.001,12.0489000008
1,1,37.501,11.9469225899
1,1,38.001,11.8252778206
2,2,2.001,21.8416015562
2,2,2.501,21.8145934544
2,2,3.0010000000000003,21.7876974516
2,2,3.5010000000000003,21.7639168994
2,2,4.001,21.7385961885
2,2,4.501,21.7169609274
2,2,5.001,21.6990974422
2,2,5.501,21.686069411
2,2,6.001,21.6278524658
2,2,6.501,21.5775972379
2,2,7.001,21.497263601599997
2,2,7.501,21.3601540206
2,2,8.001,21.136397034
2,2,8.501,20.7595332296
2,2,9.001,20.229477034400002
2,2,9.501,19.7095802152
2,2,10.001,19.1237124314
2,2,10.501,18.5070171255
2,2,11.001,17.979427300999998
2,2,11.501,17.5513146469
2,2,12.001,17.228355035
2,2,12.501,16.986145550899998
2,2,13.001,16.760150801800002
2,2,13.501,16.587182443699998
2,2,14.001,16.4811937729
2,2,14.501,16.3649476048
2,2,15.001,16.252658364600002
2,2,15.501,16.1782522159
2,2,16.000999999999998,16.1044922552
2,2,16.500999999999998,16.0033192401
2,2,17.000999999999998,15.91031106
2,2,17.500999999999998,15.8181124525
2,2,18.000999999999998,15.739901675499999
2,2,18.500999999999998,15.6727488496
2,2,19.000999999999998,15.5991834547
2,2,19.500999999999998,15.515446708199999
2,2,20.000999999999998,15.4524584853
2,2,20.500999999999998,15.394359769400001
2,2,21.000999999999998,15.3241708235
2,2,21.500999999999998,15.2542207459
2,2,22.000999999999998,15.171851411099999
2,2,22.500999999999998,15.098973172
2,2,23.000999999999998,15.0369185394
2,2,23.500999999999998,14.9467194416
2,2,24.000999999999998,14.847183904100001
2,2,24.500999999999998,14.771344032
