,Day,Depth,Temperature
1,1,2.092,22.1634014508
1,1,2.592,22.1102530971
1,1,3.092,22.0620568499
1,1,3.592,22.0143762153
1,1,4.092,21.9707369296
1,1,4.592,21.923465001599997
1,1,5.092,21.8682515669
1,1,5.5920000000000005,21.772481021999997
1,1,6.0920000000000005,21.577559735799998
1,1,6.5920000000000005,21.35101695
1,1,7.0920000000000005,21.021073618499997
1,1,7.5920000000000005,20.6740096051
1,1,8.092,20.0574867552
1,1,8.592,19.4030694351
1,1,9.092,18.785374704000002
1,1,9.592,18.1626061873
1,1,10.092,17.531591322
1,1,10.592,16.9993085803
1,1,11.092,16.470812328
1,1,11.592,16.219673962799998
1,1,12.092,15.9394146142
1,1,12.592,15.6333357975
1,1,13.092,15.440923113
1,1,13.592,15.284251619900001
1,1,14.092,15.1258562966
1,1,14.592,14.9852874972
1,1,15.092,14.8265874694
1,1,15.592,14.6863476833
1,1,16.092,14.5871623793
1,1,16.592,14.4641387047
1,1,17.092,14.3633701724
1,1,17.592,14.2917034517
1,1,18.092,14.224758505699999
1,1,18.592,14.1579077573
1,1,19.092,14.1065572327
1,1,19.592,14.045759728299998
1,1,20.092,14.003503672799999
1,1,20.592,13.940608514700001
1,1,21.092,13.8914114495
1,1,21.592,13.844476974
1,1,22.092,13.7756916626
1,1,22.592,13.699962024000001
1,1,23.092,13.641836086800001
1,1,23.592,13.5592416605
1,1,24.092,13.4929903023
1,1,24.592,13.3893513471
1,1,25.092,13.272059518399999
1,1,25.592,13.1802424553
1,1,26.092,13.064329776500001
1,1,26.592,12.9580037423
1,1,27.092,12.8668966157
1,1,27.592,12.749526958299999
1,1,28.092,12.662300289600001
1,1,28.592,12.5896152277
1,1,29.092,12.4930167493
1,1,29.592,12.4369274126
1,1,30.092,12.331417234100002
1,1,30.592,12.2395926924
1,1,31.092,12.169954821800001
1,1,31.592,12.1066110522
1,1,32.092,12.0260361755
1,1,32.592,11.9636952674
1,1,33.092,11.909513647699999
1,1,33.592,11.8733070222
1,1,34.092,11.7978876764
1,1,34.592,11.7322027126
1,1,35.092,11.6478053206
1,1,35.592,11.558233418399999
1,1,36.092,11.4469740054
1,1,36.592,11.3601142749
1,1,37.092,11.289684841600002
1,1,37.592,11.2434669675
1,1,38.092,11.179543513499999
2,2,2.092,22.1634014508
2,2,2.592,22.1102530971
2,2,3.092,22.0620568499
2,2,3.592,22.0143762153
2,2,4.092,21.9707369296
2,2,4.592,21.923465001599997
2,2,5.092,21.8682515669
2,2,5.5920000000000005,21.772481021999997
2,2,6.0920000000000005,21.577559735799998
2,2,6.5920000000000005,21.35101695
2,2,7.0920000000000005,21.021073618499997
2,2,7.5920000000000005,20.6740096051
2,2,8.092,20.0574867552
2,2,8.592,19.4030694351
2,2,9.092,18.785374704000002
2,2,9.592,18.1626061873
2,2,10.092,17.531591322
2,2,10.592,16.9993085803
2,2,11.092,16.470812328
2,2,11.592,16.219673962799998
2,2,12.092,15.9394146142
2,2,12.592,15.6333357975
2,2,13.092,15.440923113
2,2,13.592,15.284251619900001
2,2,14.092,15.1258562966
2,2,14.592,14.9852874972
2,2,15.092,14.8265874694
2,2,15.592,14.6863476833
2,2,16.092,14.5871623793
2,2,16.592,14.4641387047
2,2,17.092,14.3633701724
2,2,17.592,14.2917034517
2,2,18.092,14.224758505699999
2,2,18.592,14.1579077573
2,2,19.092,14.1065572327
2,2,19.592,14.045759728299998
2,2,20.092,14.003503672799999
2,2,20.592,13.940608514700001
2,2,21.092,13.8914114495
2,2,21.592,13.844476974
2,2,22.092,13.7756916626
2,2,22.592,13.699962024000001
2,2,23.092,13.641836086800001
2,2,23.592,13.5592416605
2,2,24.092,13.4929903023
2,2,24.592,13.3893513471
2,2,25.092,13.272059518399999
2,2,25.592,13.1802424553
2,2,26.092,13.064329776500001
2,2,26.592,12.9580037423
2,2,27.092,12.8668966157
2,2,27.592,12.749526958299999
2,2,28.092,12.662300289600001
2,2,28.592,12.5896152277
2,2,29.092,12.4930167493
2,2,29.592,12.4369274126
2,2,30.092,12.331417234100002
2,2,30.592,12.2395926924
2,2,31.092,12.169954821800001
2,2,31.592,12.1066110522
2,2,32.092,12.0260361755
2,2,32.592,11.9636952674
2,2,33.092,11.909513647699999
2,2,33.592,11.8733070222
2,2,34.092,11.7978876764
2,2,34.592,11.7322027126
2,2,35.092,11.6478053206
2,2,35.592,11.558233418399999
2,2,36.092,11.4469740054
2,2,36.592,11.3601142749
2,2,37.092,11.289684841600002
2,2,37.592,11.2434669675
2,2,38.092,11.179543513499999
3,3,2.092,22.1634014508
3,3,2.592,22.1102530971
3,3,3.092,22.0620568499
3,3,3.592,22.0143762153
3,3,4.092,21.9707369296
3,3,4.592,21.923465001599997
3,3,5.092,21.8682515669
3,3,5.5920000000000005,21.772481021999997
3,3,6.0920000000000005,21.577559735799998
3,3,6.5920000000000005,21.35101695
3,3,7.0920000000000005,21.021073618499997
3,3,7.5920000000000005,20.6740096051
3,3,8.092,20.0574867552
