,Day,Depth,Temperature
1,1,2.015,16.585123659300002
1,1,2.515,16.570644239900002
1,1,3.015,16.5268712969
1,1,3.515,16.494955027
1,1,4.015,16.4617754869
1,1,4.515,16.2062877204
1,1,5.015,15.8918632033
1,1,5.515,15.487359722
1,1,6.015,15.0484364067
1,1,6.515,14.631812744400001
1,1,7.015,14.208523241400002
1,1,7.515,13.841931962
1,1,8.015,13.6791375207
1,1,8.515,13.501804197
1,1,9.015,13.3480082323
1,1,9.515,13.1803069521
1,1,10.015,13.0064791918
1,1,10.515,12.8570322424
1,1,11.015,12.7120627119
1,1,11.515,12.585551201700001
1,1,12.015,12.4801052371
1,1,12.515,12.381758594
1,1,13.015,12.2968570001
1,1,13.515,12.216531251500001
1,1,14.015,12.1424395267
1,1,14.515,12.0697015275
1,1,15.015,11.9934262288
1,1,15.515,11.906099987000001
1,1,16.015,11.830522396900001
1,1,16.515,11.750873125999998
1,1,17.015,11.662162602899999
1,1,17.515,11.5870038902
1,1,18.015,11.531245845
1,1,18.515,11.4727197623
1,1,19.015,11.4064522278
1,1,19.515,11.3489154564
1,1,20.015,11.278257543499999
1,1,20.515,11.1891939125
1,1,21.015,11.101079432899999
1,1,21.515,11.0023116894
1,1,22.015,10.914706278599999
1,1,22.515,10.8559440729
1,1,23.015,10.7812320544
1,1,23.515,10.7139892989
1,1,24.015,10.6770136299
1,1,24.515,10.615434301799999
1,1,25.015,10.5620845094
1,1,25.515,10.523769013799999
1,1,26.015,10.4712215291
1,1,26.515,10.424639770299999
1,1,27.015,10.3886198112
1,1,27.515,10.3362710849
1,1,28.015,10.2918539934
1,1,28.515,10.2556203259
1,1,29.015,10.2092009922
1,1,29.515,10.1704782689
1,1,30.015,10.1369608976
1,1,30.515,10.1029878394
1,1,31.015,10.0685521102
1,1,31.515,10.039498073099999
1,1,32.015,10.0019392863
1,1,32.515,9.961591275830001
1,1,33.015,9.93091747123
1,1,33.515,9.88662619561
1,1,34.015,9.84282384146
1,1,34.515,9.80444167451
1,1,35.015,9.75742455016
1,1,35.515,9.716713377160001
1,1,36.015,9.6677100489
1,1,36.515,9.623518064319999
1,1,37.015,9.59190412742
1,1,37.515,9.54307258543
1,1,38.015,9.486384990660001
2,2,2.015,16.585123659300002
2,2,2.515,16.570644239900002
2,2,3.015,16.5268712969
2,2,3.515,16.494955027
2,2,4.015,16.4617754869
2,2,4.515,16.2062877204
2,2,5.015,15.8918632033
2,2,5.515,15.487359722
2,2,6.015,15.0484364067
2,2,6.515,14.631812744400001
2,2,7.015,14.208523241400002
2,2,7.515,13.841931962
2,2,8.015,13.6791375207
2,2,8.515,13.501804197
2,2,9.015,13.3480082323
2,2,9.515,13.1803069521
2,2,10.015,13.0064791918
2,2,10.515,12.8570322424
2,2,11.015,12.7120627119
2,2,11.515,12.585551201700001
2,2,12.015,12.4801052371
2,2,12.515,12.381758594
2,2,13.015,12.2968570001
2,2,13.515,12.216531251500001
2,2,14.015,12.1424395267
2,2,14.515,12.0697015275
2,2,15.015,11.9934262288
2,2,15.515,11.906099987000001
2,2,16.015,11.830522396900001
2,2,16.515,11.750873125999998
2,2,17.015,11.662162602899999
2,2,17.515,11.5870038902
2,2,18.015,11.531245845
2,2,18.515,11.4727197623
2,2,19.015,11.4064522278
2,2,19.515,11.3489154564
2,2,20.015,11.278257543499999
2,2,20.515,11.1891939125
2,2,21.015,11.101079432899999
2,2,21.515,11.0023116894
2,2,22.015,10.914706278599999
2,2,22.515,10.8559440729
2,2,23.015,10.7812320544
2,2,23.515,10.7139892989
2,2,24.015,10.6770136299
2,2,24.515,10.615434301799999
2,2,25.015,10.5620845094
2,2,25.515,10.523769013799999
2,2,26.015,10.4712215291
2,2,26.515,10.424639770299999
2,2,27.015,10.3886198112
2,2,27.515,10.3362710849
2,2,28.015,10.2918539934
2,2,28.515,10.2556203259
2,2,29.015,10.2092009922
2,2,29.515,10.1704782689
2,2,30.015,10.1369608976
2,2,30.515,10.1029878394
2,2,31.015,10.0685521102
2,2,31.515,10.039498073099999
2,2,32.015,10.0019392863
2,2,32.515,9.961591275830001
2,2,33.015,9.93091747123
2,2,33.515,9.88662619561
2,2,34.015,9.84282384146
2,2,34.515,9.80444167451
2,2,35.015,9.75742455016
2,2,35.515,9.716713377160001
2,2,36.015,9.6677100489
2,2,36.515,9.623518064319999
2,2,37.015,9.59190412742
2,2,37.515,9.54307258543
2,2,38.015,9.486384990660001
3,3,2.015,16.585123659300002
3,3,2.515,16.570644239900002
3,3,3.015,16.5268712969
3,3,3.515,16.494955027
3,3,4.015,16.4617754869
3,3,4.515,16.2062877204
3,3,5.015,15.8918632033
3,3,5.515,15.487359722
3,3,6.015,15.0484364067
3,3,6.515,14.631812744400001
3,3,7.015,14.208523241400002
3,3,7.515,13.841931962
3,3,8.015,13.6791375207
3,3,8.515,13.501804197
3,3,9.015,13.3480082323
3,3,9.515,13.1803069521
3,3,10.015,13.0064791918
3,3,10.515,12.8570322424
3,3,11.015,12.7120627119
3,3,11.515,12.585551201700001
3,3,12.015,12.4801052371
3,3,12.515,12.381758594
3,3,13.015,12.2968570001
3,3,13.515,12.216531251500001
3,3,14.015,12.1424395267
3,3,14.515,12.0697015275
3,3,15.015,11.9934262288
3,3,15.515,11.906099987000001
3,3,16.015,11.830522396900001
3,3,16.515,11.750873125999998
3,3,17.015,11.662162602899999
3,3,17.515,11.5870038902
3,3,18.015,11.531245845
3,3,18.515,11.4727197623
3,3,19.015,11.4064522278
3,3,19.515,11.3489154564
3,3,20.015,11.278257543499999
3,3,20.515,11.1891939125
3,3,21.015,11.101079432899999
3,3,21.515,11.0023116894
3,3,22.015,10.914706278599999
3,3,22.515,10.8559440729
3,3,23.015,10.7812320544
3,3,23.515,10.7139892989
3,3,24.015,10.6770136299
3,3,24.515,10.615434301799999
3,3,25.015,10.5620845094
3,3,25.515,10.523769013799999
3,3,26.015,10.4712215291
3,3,26.515,10.424639770299999
3,3,27.015,10.3886198112
3,3,27.515,10.3362710849
3,3,28.015,10.2918539934
3,3,28.515,10.2556203259
3,3,29.015,10.2092009922
3,3,29.515,10.1704782689
3,3,30.015,10.1369608976
3,3,30.515,10.1029878394
3,3,31.015,10.0685521102
3,3,31.515,10.039498073099999
3,3,32.015,10.0019392863
3,3,32.515,9.961591275830001
3,3,33.015,9.93091747123
3,3,33.515,9.88662619561
3,3,34.015,9.84282384146
3,3,34.515,9.80444167451
3,3,35.015,9.75742455016
3,3,35.515,9.716713377160001
3,3,36.015,9.6677100489
3,3,36.515,9.623518064319999
3,3,37.015,9.59190412742
3,3,37.515,9.54307258543
3,3,38.015,9.486384990660001
4,4,2.015,16.585123659300002
4,4,2.515,16.570644239900002
4,4,3.015,16.5268712969
4,4,3.515,16.494955027
4,4,4.015,16.4617754869
4,4,4.515,16.2062877204
4,4,5.015,15.8918632033
4,4,5.515,15.487359722
4,4,6.015,15.0484364067
4,4,6.515,14.631812744400001
4,4,7.015,14.208523241400002
4,4,7.515,13.841931962
4,4,8.015,13.6791375207
4,4,8.515,13.501804197
4,4,9.015,13.3480082323
4,4,9.515,13.1803069521
4,4,10.015,13.0064791918
4,4,10.515,12.8570322424
4,4,11.015,12.7120627119
4,4,11.515,12.585551201700001
4,4,12.015,12.4801052371
4,4,12.515,12.381758594
4,4,13.015,12.2968570001
4,4,13.515,12.216531251500001
4,4,14.015,12.1424395267
4,4,14.515,12.0697015275
4,4,15.015,11.9934262288
4,4,15.515,11.906099987000001
4,4,16.015,11.830522396900001
4,4,16.515,11.750873125999998
4,4,17.015,11.662162602899999
4,4,17.515,11.5870038902
4,4,18.015,11.531245845
4,4,18.515,11.4727197623
4,4,19.015,11.4064522278
4,4,19.515,11.3489154564
4,4,20.015,11.278257543499999
4,4,20.515,11.1891939125
4,4,21.015,11.101079432899999
4,4,21.515,11.0023116894
4,4,22.015,10.914706278599999
4,4,22.515,10.8559440729
4,4,23.015,10.7812320544
4,4,23.515,10.7139892989
4,4,24.015,10.6770136299
4,4,24.515,10.615434301799999
4,4,25.015,10.5620845094
4,4,25.515,10.523769013799999
4,4,26.015,10.4712215291
4,4,26.515,10.424639770299999
4,4,27.015,10.3886198112
4,4,27.515,10.3362710849
4,4,28.015,10.2918539934
4,4,28.515,10.2556203259
4,4,29.015,10.2092009922
4,4,29.515,10.1704782689
4,4,30.015,10.1369608976
4,4,30.515,10.1029878394
4,4,31.015,10.0685521102
4,4,31.515,10.039498073099999
4,4,32.015,10.0019392863
4,4,32.515,9.961591275830001
4,4,33.015,9.93091747123
4,4,33.515,9.88662619561
4,4,34.015,9.84282384146
4,4,34.515,9.80444167451
4,4,35.015,9.75742455016
4,4,35.515,9.716713377160001
4,4,36.015,9.6677100489
4,4,36.515,9.623518064319999
4,4,37.015,9.59190412742
4,4,37.515,9.54307258543
4,4,38.015,9.486384990660001
5,5,2.015,16.585123659300002
5,5,2.515,16.570644239900002
5,5,3.015,16.5268712969
5,5,3.515,16.494955027
5,5,4.015,16.4617754869
5,5,4.515,16.2062877204
5,5,5.015,15.8918632033
5,5,5.515,15.487359722
5,5,6.015,15.0484364067
5,5,6.515,14.631812744400001
5,5,7.015,14.208523241400002
5,5,7.515,13.841931962
5,5,8.015,13.6791375207
5,5,8.515,13.501804197
5,5,9.015,13.3480082323
5,5,9.515,13.1803069521
5,5,10.015,13.0064791918
5,5,10.515,12.8570322424
5,5,11.015,12.7120627119
5,5,11.515,12.585551201700001
5,5,12.015,12.4801052371
5,5,12.515,12.381758594
5,5,13.015,12.2968570001
5,5,13.515,12.216531251500001
5,5,14.015,12.1424395267
5,5,14.515,12.0697015275
5,5,15.015,11.9934262288
5,5,15.515,11.906099987000001
5,5,16.015,11.830522396900001
5,5,16.515,11.750873125999998
5,5,17.015,11.662162602899999
5,5,17.515,11.5870038902
5,5,18.015,11.531245845
5,5,18.515,11.4727197623
5,5,19.015,11.4064522278
5,5,19.515,11.3489154564
5,5,20.015,11.278257543499999
5,5,20.515,11.1891939125
5,5,21.015,11.101079432899999
5,5,21.515,11.0023116894
5,5,22.015,10.914706278599999
5,5,22.515,10.8559440729
5,5,23.015,10.7812320544
5,5,23.515,10.7139892989
5,5,24.015,10.6770136299
5,5,24.515,10.615434301799999
5,5,25.015,10.5620845094
5,5,25.515,10.523769013799999
5,5,26.015,10.4712215291
5,5,26.515,10.424639770299999
5,5,27.015,10.3886198112
5,5,27.515,10.3362710849
5,5,28.015,10.2918539934
5,5,28.515,10.2556203259
5,5,29.015,10.2092009922
5,5,29.515,10.1704782689
5,5,30.015,10.1369608976
5,5,30.515,10.1029878394
5,5,31.015,10.0685521102
5,5,31.515,10.039498073099999
5,5,32.015,10.0019392863
5,5,32.515,9.961591275830001
5,5,33.015,9.93091747123
5,5,33.515,9.88662619561
5,5,34.015,9.84282384146
5,5,34.515,9.80444167451
5,5,35.015,9.75742455016
5,5,35.515,9.716713377160001
5,5,36.015,9.6677100489
5,5,36.515,9.623518064319999
5,5,37.015,9.59190412742
5,5,37.515,9.54307258543
5,5,38.015,9.486384990660001
6,6,2.015,16.585123659300002
6,6,2.515,16.570644239900002
6,6,3.015,16.5268712969
6,6,3.515,16.494955027
6,6,4.015,16.4617754869
6,6,4.515,16.2062877204
6,6,5.015,15.8918632033
6,6,5.515,15.487359722
6,6,6.015,15.0484364067
6,6,6.515,14.631812744400001
6,6,7.015,14.208523241400002
6,6,7.515,13.841931962
6,6,8.015,13.6791375207
6,6,8.515,13.501804197
6,6,9.015,13.3480082323
6,6,9.515,13.1803069521
6,6,10.015,13.0064791918
6,6,10.515,12.8570322424
6,6,11.015,12.7120627119
6,6,11.515,12.585551201700001
6,6,12.015,12.4801052371
6,6,12.515,12.381758594
6,6,13.015,12.2968570001
6,6,13.515,12.216531251500001
6,6,14.015,12.1424395267
6,6,14.515,12.0697015275
6,6,15.015,11.9934262288
6,6,15.515,11.906099987000001
6,6,16.015,11.830522396900001
6,6,16.515,11.750873125999998
6,6,17.015,11.662162602899999
6,6,17.515,11.5870038902
6,6,18.015,11.531245845
6,6,18.515,11.4727197623
6,6,19.015,11.4064522278
6,6,19.515,11.3489154564
6,6,20.015,11.278257543499999
6,6,20.515,11.1891939125
6,6,21.015,11.101079432899999
6,6,21.515,11.0023116894
6,6,22.015,10.914706278599999
6,6,22.515,10.8559440729
6,6,23.015,10.7812320544
6,6,23.515,10.7139892989
6,6,24.015,10.6770136299
6,6,24.515,10.615434301799999
6,6,25.015,10.5620845094
6,6,25.515,10.523769013799999
6,6,26.015,10.4712215291
6,6,26.515,10.424639770299999
6,6,27.015,10.3886198112
6,6,27.515,10.3362710849
6,6,28.015,10.2918539934
6,6,28.515,10.2556203259
6,6,29.015,10.2092009922
6,6,29.515,10.1704782689
6,6,30.015,10.1369608976
6,6,30.515,10.1029878394
6,6,31.015,10.0685521102
6,6,31.515,10.039498073099999
6,6,32.015,10.0019392863
6,6,32.515,9.961591275830001
6,6,33.015,9.93091747123
6,6,33.515,9.88662619561
6,6,34.015,9.84282384146
6,6,34.515,9.80444167451
6,6,35.015,9.75742455016
6,6,35.515,9.716713377160001
6,6,36.015,9.6677100489
6,6,36.515,9.623518064319999
6,6,37.015,9.59190412742
6,6,37.515,9.54307258543
6,6,38.015,9.486384990660001
7,7,2.015,16.585123659300002
7,7,2.515,16.570644239900002
7,7,3.015,16.5268712969
7,7,3.515,16.494955027
7,7,4.015,16.4617754869
7,7,4.515,16.2062877204
7,7,5.015,15.8918632033
7,7,5.515,15.487359722
7,7,6.015,15.0484364067
7,7,6.515,14.631812744400001
7,7,7.015,14.208523241400002
7,7,7.515,13.841931962
7,7,8.015,13.6791375207
7,7,8.515,13.501804197
7,7,9.015,13.3480082323
7,7,9.515,13.1803069521
7,7,10.015,13.0064791918
7,7,10.515,12.8570322424
7,7,11.015,12.7120627119
7,7,11.515,12.585551201700001
7,7,12.015,12.4801052371
7,7,12.515,12.381758594
7,7,13.015,12.2968570001
7,7,13.515,12.216531251500001
7,7,14.015,12.1424395267
7,7,14.515,12.0697015275
7,7,15.015,11.9934262288
7,7,15.515,11.906099987000001
7,7,16.015,11.830522396900001
7,7,16.515,11.750873125999998
7,7,17.015,11.662162602899999
7,7,17.515,11.5870038902
7,7,18.015,11.531245845
7,7,18.515,11.4727197623
7,7,19.015,11.4064522278
7,7,19.515,11.3489154564
7,7,20.015,11.278257543499999
7,7,20.515,11.1891939125
7,7,21.015,11.101079432899999
7,7,21.515,11.0023116894
7,7,22.015,10.914706278599999
7,7,22.515,10.8559440729
7,7,23.015,10.7812320544
7,7,23.515,10.7139892989
7,7,24.015,10.6770136299
7,7,24.515,10.615434301799999
7,7,25.015,10.5620845094
7,7,25.515,10.523769013799999
7,7,26.015,10.4712215291
7,7,26.515,10.424639770299999
7,7,27.015,10.3886198112
7,7,27.515,10.3362710849
7,7,28.015,10.2918539934
7,7,28.515,10.2556203259
7,7,29.015,10.2092009922
7,7,29.515,10.1704782689
