,Day,Depth,Temperature
1,1,2.019,15.5307531633
1,1,2.519,15.437976151099999
1,1,3.0189999999999997,15.401874366800001
1,1,3.5189999999999997,15.2919825102
1,1,4.019,15.1603464941
1,1,4.519,15.0949597298
1,1,5.019,14.920562863499999
1,1,5.519,14.729750593199999
1,1,6.019,14.622649013699998
1,1,6.519,14.3732219992
1,1,7.019,14.201878875799999
1,1,7.519,14.069994903900001
1,1,8.019,13.8585126821
1,1,8.519,13.7196595773
1,1,9.019,13.609872190099999
1,1,9.519,13.4531751595
1,1,10.019,13.3447447298
1,1,10.519,13.2032765521
1,1,11.019,13.0910031694
1,1,11.519,13.000482860999998
1,1,12.019,12.8812474447
1,1,12.519,12.801161888
1,1,13.019,12.6749116339
1,1,13.519,12.5448206976
1,1,14.019,12.4365465087
1,1,14.519,12.2820974003
1,1,15.019,12.0603673436
1,1,15.519,11.8566180073
1,1,16.019000000000002,11.6570067173
1,1,16.519000000000002,11.3837443475
1,1,17.019000000000002,11.1509403951
1,1,17.519000000000002,10.9268822375
1,1,18.019000000000002,10.6997897168
1,1,18.519000000000002,10.54544073
1,1,19.019000000000002,10.3997727904
1,1,19.519000000000002,10.1885702121
1,1,20.019000000000002,10.1034669133
1,1,20.519000000000002,10.012298002
1,1,21.019000000000002,9.89154790793
1,1,21.519000000000002,9.799665739930001
1,1,22.019000000000002,9.74831916144
1,1,22.519000000000002,9.65551632247
1,1,23.019000000000002,9.59988750613
1,1,23.519000000000002,9.54229468659
1,1,24.019000000000002,9.4668586213
1,1,24.519000000000002,9.41714890067
1,1,25.019000000000002,9.389661598310001
2,2,2.019,15.5307531633
2,2,2.519,15.437976151099999
2,2,3.0189999999999997,15.401874366800001
2,2,3.5189999999999997,15.2919825102
2,2,4.019,15.1603464941
2,2,4.519,15.0949597298
2,2,5.019,14.920562863499999
2,2,5.519,14.729750593199999
2,2,6.019,14.622649013699998
2,2,6.519,14.3732219992
2,2,7.019,14.201878875799999
2,2,7.519,14.069994903900001
2,2,8.019,13.8585126821
2,2,8.519,13.7196595773
2,2,9.019,13.609872190099999
2,2,9.519,13.4531751595
2,2,10.019,13.3447447298
2,2,10.519,13.2032765521
2,2,11.019,13.0910031694
2,2,11.519,13.000482860999998
2,2,12.019,12.8812474447
2,2,12.519,12.801161888
2,2,13.019,12.6749116339
2,2,13.519,12.5448206976
2,2,14.019,12.4365465087
2,2,14.519,12.2820974003
2,2,15.019,12.0603673436
2,2,15.519,11.8566180073
2,2,16.019000000000002,11.6570067173
2,2,16.519000000000002,11.3837443475
2,2,17.019000000000002,11.1509403951
2,2,17.519000000000002,10.9268822375
2,2,18.019000000000002,10.6997897168
2,2,18.519000000000002,10.54544073
2,2,19.019000000000002,10.3997727904
2,2,19.519000000000002,10.1885702121
2,2,20.019000000000002,10.1034669133
2,2,20.519000000000002,10.012298002
2,2,21.019000000000002,9.89154790793
2,2,21.519000000000002,9.799665739930001
2,2,22.019000000000002,9.74831916144
2,2,22.519000000000002,9.65551632247
2,2,23.019000000000002,9.59988750613
2,2,23.519000000000002,9.54229468659
2,2,24.019000000000002,9.4668586213
2,2,24.519000000000002,9.41714890067
2,2,25.019000000000002,9.389661598310001
3,3,2.019,15.5307531633
3,3,2.519,15.437976151099999
3,3,3.0189999999999997,15.401874366800001
3,3,3.5189999999999997,15.2919825102
3,3,4.019,15.1603464941
3,3,4.519,15.0949597298
3,3,5.019,14.920562863499999
3,3,5.519,14.729750593199999
3,3,6.019,14.622649013699998
3,3,6.519,14.3732219992
3,3,7.019,14.201878875799999
3,3,7.519,14.069994903900001
3,3,8.019,13.8585126821
3,3,8.519,13.7196595773
3,3,9.019,13.609872190099999
3,3,9.519,13.4531751595
3,3,10.019,13.3447447298
3,3,10.519,13.2032765521
3,3,11.019,13.0910031694
3,3,11.519,13.000482860999998
3,3,12.019,12.8812474447
3,3,12.519,12.801161888
3,3,13.019,12.6749116339
3,3,13.519,12.5448206976
3,3,14.019,12.4365465087
3,3,14.519,12.2820974003
3,3,15.019,12.0603673436
3,3,15.519,11.8566180073
3,3,16.019000000000002,11.6570067173
3,3,16.519000000000002,11.3837443475
3,3,17.019000000000002,11.1509403951
