Day,Depth,Temperature
1,2.003,12.42700739
1,2.503,12.2702427
1,3.003,12.14214273
1,3.503,12.02076456
1,4.003,11.71694186
1,4.503,11.37333965
1,5.003,10.94321656
1,5.503,10.5313907
1,6.003,10.13179613
1,6.503,9.771423925
1,7.003,9.480140216
1,7.503,9.423671784
1,8.003,9.367131445
1,8.503,9.315148366
1,9.003,9.28186608
1,9.503,9.263583915
1,10.003,9.226678155
1,10.503,9.19741748
1,11.003,9.175606794
1,11.503,9.141979989
1,12.003,9.104518967
1,12.503,9.073535565
1,13.003,9.04167104
1,13.503,9.000641463
1,14.003,8.967486029
1,14.503,8.927007681
1,15.003,8.881768853
1,15.503,8.855924147
1,16.003,8.825804797
1,16.503,8.788166476
1,17.003,8.769846535
1,17.503,8.750778108
1,18.003,8.731948299
2,2.003,12.42700739
2,2.503,12.2702427
2,3.003,12.14214273
2,3.503,12.02076456
2,4.003,11.71694186
2,4.503,11.37333965
2,5.003,10.94321656
2,5.503,10.5313907
2,6.003,10.13179613
2,6.503,9.771423925
2,7.003,9.480140216
2,7.503,9.423671784
2,8.003,9.367131445
2,8.503,9.315148366
2,9.003,9.28186608
2,9.503,9.263583915
2,10.003,9.226678155
2,10.503,9.19741748
2,11.003,9.175606794
2,11.503,9.141979989
2,12.003,9.104518967
2,12.503,9.073535565
2,13.003,9.04167104
2,13.503,9.000641463
2,14.003,8.967486029
2,14.503,8.927007681
2,15.003,8.881768853
2,15.503,8.855924147
2,16.003,8.825804797
2,16.503,8.788166476
2,17.003,8.769846535
2,17.503,8.750778108
2,18.003,8.731948299
3,2.003,12.42700739
3,2.503,12.2702427
3,3.003,12.14214273
3,3.503,12.02076456
3,4.003,11.71694186
3,4.503,11.37333965
3,5.003,10.94321656
3,5.503,10.5313907
3,6.003,10.13179613
3,6.503,9.771423925
3,7.003,9.480140216
3,7.503,9.423671784
3,8.003,9.367131445
3,8.503,9.315148366
3,9.003,9.28186608
3,9.503,9.263583915
3,10.003,9.226678155
3,10.503,9.19741748
3,11.003,9.175606794
3,11.503,9.141979989
3,12.003,9.104518967
3,12.503,9.073535565
3,13.003,9.04167104
3,13.503,9.000641463
3,14.003,8.967486029
3,14.503,8.927007681
3,15.003,8.881768853
3,15.503,8.855924147
3,16.003,8.825804797
3,16.503,8.788166476
3,17.003,8.769846535
3,17.503,8.750778108
3,18.003,8.731948299
4,2.003,12.42700739
4,2.503,12.2702427
4,3.003,12.14214273
4,3.503,12.02076456
4,4.003,11.71694186
4,4.503,11.37333965
4,5.003,10.94321656
4,5.503,10.5313907
4,6.003,10.13179613
4,6.503,9.771423925
4,7.003,9.480140216
4,7.503,9.423671784
4,8.003,9.367131445
4,8.503,9.315148366
4,9.003,9.28186608
4,9.503,9.263583915
4,10.003,9.226678155
4,10.503,9.19741748
4,11.003,9.175606794
4,11.503,9.141979989
4,12.003,9.104518967
4,12.503,9.073535565
4,13.003,9.04167104
4,13.503,9.000641463
4,14.003,8.967486029
4,14.503,8.927007681
4,15.003,8.881768853
4,15.503,8.855924147
4,16.003,8.825804797
4,16.503,8.788166476
4,17.003,8.769846535
4,17.503,8.750778108
4,18.003,8.731948299
5,2.003,12.42700739
5,2.503,12.2702427
5,3.003,12.14214273
5,3.503,12.02076456
5,4.003,11.71694186
5,4.503,11.37333965
5,5.003,10.94321656
5,5.503,10.5313907
5,6.003,10.13179613
5,6.503,9.771423925
5,7.003,9.480140216
5,7.503,9.423671784
5,8.003,9.367131445
5,8.503,9.315148366
5,9.003,9.28186608
5,9.503,9.263583915
5,10.003,9.226678155
5,10.503,9.19741748
5,11.003,9.175606794
5,11.503,9.141979989
5,12.003,9.104518967
5,12.503,9.073535565
5,13.003,9.04167104
5,13.503,9.000641463
5,14.003,8.967486029
5,14.503,8.927007681
5,15.003,8.881768853
5,15.503,8.855924147
5,16.003,8.825804797
5,16.503,8.788166476
5,17.003,8.769846535
5,17.503,8.750778108
5,18.003,8.731948299
6,2.003,12.42700739
6,2.503,12.2702427
6,3.003,12.14214273
6,3.503,12.02076456
6,4.003,11.71694186
6,4.503,11.37333965
6,5.003,10.94321656
6,5.503,10.5313907
6,6.003,10.13179613
6,6.503,9.771423925
6,7.003,9.480140216
6,7.503,9.423671784
6,8.003,9.367131445
6,8.503,9.315148366
6,9.003,9.28186608
6,9.503,9.263583915
6,10.003,9.226678155
6,10.503,9.19741748
6,11.003,9.175606794
6,11.503,9.141979989
6,12.003,9.104518967
6,12.503,9.073535565
6,13.003,9.04167104
6,13.503,9.000641463
6,14.003,8.967486029
6,14.503,8.927007681
6,15.003,8.881768853
6,15.503,8.855924147
6,16.003,8.825804797
6,16.503,8.788166476
6,17.003,8.769846535
6,17.503,8.750778108
6,18.003,8.731948299
7,2.003,12.42700739
7,2.503,12.2702427
7,3.003,12.14214273
7,3.503,12.02076456
7,4.003,11.71694186
7,4.503,11.37333965
7,5.003,10.94321656
7,5.503,10.5313907
7,6.003,10.13179613
7,6.503,9.771423925
7,7.003,9.480140216
7,7.503,9.423671784
7,8.003,9.367131445
7,8.503,9.315148366
7,9.003,9.28186608
7,9.503,9.263583915
7,10.003,9.226678155
7,10.503,9.19741748
7,11.003,9.175606794
7,11.503,9.141979989
7,12.003,9.104518967
7,12.503,9.073535565
7,13.003,9.04167104
7,13.503,9.000641463
7,14.003,8.967486029
7,14.503,8.927007681
7,15.003,8.881768853
7,15.503,8.855924147
7,16.003,8.825804797
7,16.503,8.788166476
7,17.003,8.769846535
7,17.503,8.750778108
7,18.003,8.731948299
8,2.003,12.42700739
8,2.503,12.2702427
8,3.003,12.14214273
8,3.503,12.02076456
8,4.003,11.71694186
8,4.503,11.37333965
8,5.003,10.94321656
8,5.503,10.5313907
8,6.003,10.13179613
8,6.503,9.771423925
8,7.003,9.480140216
8,7.503,9.423671784
8,8.003,9.367131445
8,8.503,9.315148366
8,9.003,9.28186608
8,9.503,9.263583915
8,10.003,9.226678155
8,10.503,9.19741748
8,11.003,9.175606794
8,11.503,9.141979989
8,12.003,9.104518967
8,12.503,9.073535565
8,13.003,9.04167104
8,13.503,9.000641463
8,14.003,8.967486029
8,14.503,8.927007681
8,15.003,8.881768853
8,15.503,8.855924147
8,16.003,8.825804797
8,16.503,8.788166476
8,17.003,8.769846535
8,17.503,8.750778108
8,18.003,8.731948299
9,2.003,12.42700739
