,Day,Depth,Temperature
1.0,1.0,2.003,12.42700739
1.0,1.0,2.503,12.270242699999999
1.0,1.0,3.003,12.14214273
1.0,1.0,3.503,12.02076456
1.0,1.0,4.003,11.71694186
1.0,1.0,4.503,11.37333965
1.0,1.0,5.003,10.94321656
1.0,1.0,5.502999999999999,10.5313907
1.0,1.0,6.002999999999999,10.13179613
1.0,1.0,6.502999999999999,9.771423925
1.0,1.0,7.002999999999999,9.480140216
1.0,1.0,7.502999999999999,9.423671784
1.0,1.0,8.003,9.367131445
1.0,1.0,8.503,9.315148366
1.0,1.0,9.003,9.28186608
1.0,1.0,9.503,9.263583915
1.0,1.0,10.003,9.226678155
1.0,1.0,10.503,9.19741748
1.0,1.0,11.003,9.175606794
1.0,1.0,11.503,9.141979989
1.0,1.0,12.003,9.104518967
1.0,1.0,12.503,9.073535565
1.0,1.0,13.003,9.04167104
1.0,1.0,13.503,9.000641463
1.0,1.0,14.003,8.967486029
1.0,1.0,14.503,8.927007681000001
1.0,1.0,15.003,8.881768852999999
1.0,1.0,15.503,8.855924147
1.0,1.0,16.003,8.825804797
1.0,1.0,16.503,8.788166476
1.0,1.0,17.003,8.769846535
1.0,1.0,17.503,8.750778107999999
1.0,1.0,18.003,8.731948298999999
2.0,2.0,2.003,12.42700739
2.0,2.0,2.503,12.270242699999999
2.0,2.0,3.003,12.14214273
2.0,2.0,3.503,12.02076456
2.0,2.0,4.003,11.71694186
2.0,2.0,4.503,11.37333965
2.0,2.0,5.003,10.94321656
2.0,2.0,5.502999999999999,10.5313907
2.0,2.0,6.002999999999999,10.13179613
2.0,2.0,6.502999999999999,9.771423925
2.0,2.0,7.002999999999999,9.480140216
2.0,2.0,7.502999999999999,9.423671784
2.0,2.0,8.003,9.367131445
2.0,2.0,8.503,9.315148366
2.0,2.0,9.003,9.28186608
2.0,2.0,9.503,9.263583915
2.0,2.0,10.003,9.226678155
2.0,2.0,10.503,9.19741748
2.0,2.0,11.003,9.175606794
2.0,2.0,11.503,9.141979989
2.0,2.0,12.003,9.104518967
2.0,2.0,12.503,9.073535565
2.0,2.0,13.003,9.04167104
2.0,2.0,13.503,9.000641463
2.0,2.0,14.003,8.967486029
2.0,2.0,14.503,8.927007681000001
2.0,2.0,15.003,8.881768852999999
2.0,2.0,15.503,8.855924147
2.0,2.0,16.003,8.825804797
2.0,2.0,16.503,8.788166476
2.0,2.0,17.003,8.769846535
2.0,2.0,17.503,8.750778107999999
2.0,2.0,18.003,8.731948298999999
3.0,3.0,2.003,12.42700739
3.0,3.0,2.503,12.270242699999999
3.0,3.0,3.003,12.14214273
3.0,3.0,3.503,12.02076456
3.0,3.0,4.003,11.71694186
3.0,3.0,4.503,11.37333965
3.0,3.0,5.003,10.94321656
3.0,3.0,5.502999999999999,10.5313907
3.0,3.0,6.002999999999999,10.13179613
3.0,3.0,6.502999999999999,9.771423925
3.0,3.0,7.002999999999999,9.480140216
3.0,3.0,7.502999999999999,9.423671784
3.0,3.0,8.003,9.367131445
3.0,3.0,8.503,9.315148366
3.0,3.0,9.003,9.28186608
3.0,3.0,9.503,9.263583915
3.0,3.0,10.003,9.226678155
3.0,3.0,10.503,9.19741748
3.0,3.0,11.003,9.175606794
3.0,3.0,11.503,9.141979989
3.0,3.0,12.003,9.104518967
3.0,3.0,12.503,9.073535565
3.0,3.0,13.003,9.04167104
3.0,3.0,13.503,9.000641463
3.0,3.0,14.003,8.967486029
3.0,3.0,14.503,8.927007681000001
3.0,3.0,15.003,8.881768852999999
3.0,3.0,15.503,8.855924147
3.0,3.0,16.003,8.825804797
3.0,3.0,16.503,8.788166476
3.0,3.0,17.003,8.769846535
3.0,3.0,17.503,8.750778107999999
3.0,3.0,18.003,8.731948298999999
4.0,4.0,2.003,12.42700739
4.0,4.0,2.503,12.270242699999999
4.0,4.0,3.003,12.14214273
4.0,4.0,3.503,12.02076456
4.0,4.0,4.003,11.71694186
4.0,4.0,4.503,11.37333965
4.0,4.0,5.003,10.94321656
4.0,4.0,5.502999999999999,10.5313907
4.0,4.0,6.002999999999999,10.13179613
4.0,4.0,6.502999999999999,9.771423925
4.0,4.0,7.002999999999999,9.480140216
4.0,4.0,7.502999999999999,9.423671784
4.0,4.0,8.003,9.367131445
4.0,4.0,8.503,9.315148366
4.0,4.0,9.003,9.28186608
4.0,4.0,9.503,9.263583915
4.0,4.0,10.003,9.226678155
4.0,4.0,10.503,9.19741748
4.0,4.0,11.003,9.175606794
4.0,4.0,11.503,9.141979989
4.0,4.0,12.003,9.104518967
4.0,4.0,12.503,9.073535565
4.0,4.0,13.003,9.04167104
4.0,4.0,13.503,9.000641463
4.0,4.0,14.003,8.967486029
4.0,4.0,14.503,8.927007681000001
4.0,4.0,15.003,8.881768852999999
4.0,4.0,15.503,8.855924147
4.0,4.0,16.003,8.825804797
4.0,4.0,16.503,8.788166476
4.0,4.0,17.003,8.769846535
4.0,4.0,17.503,8.750778107999999
4.0,4.0,18.003,8.731948298999999
5.0,5.0,2.003,12.42700739
5.0,5.0,2.503,12.270242699999999
5.0,5.0,3.003,12.14214273
5.0,5.0,3.503,12.02076456
5.0,5.0,4.003,11.71694186
5.0,5.0,4.503,11.37333965
5.0,5.0,5.003,10.94321656
5.0,5.0,5.502999999999999,10.5313907
5.0,5.0,6.002999999999999,10.13179613
5.0,5.0,6.502999999999999,9.771423925
5.0,5.0,7.002999999999999,9.480140216
5.0,5.0,7.502999999999999,9.423671784
5.0,5.0,8.003,9.367131445
5.0,5.0,8.503,9.315148366
5.0,5.0,9.003,9.28186608
5.0,5.0,9.503,9.263583915
5.0,5.0,10.003,9.226678155
5.0,5.0,10.503,9.19741748
5.0,5.0,11.003,9.175606794
5.0,5.0,11.503,9.141979989
5.0,5.0,12.003,9.104518967
5.0,5.0,12.503,9.073535565
5.0,5.0,13.003,9.04167104
5.0,5.0,13.503,9.000641463
5.0,5.0,14.003,8.967486029
5.0,5.0,14.503,8.927007681000001
5.0,5.0,15.003,8.881768852999999
5.0,5.0,15.503,8.855924147
5.0,5.0,16.003,8.825804797
5.0,5.0,16.503,8.788166476
5.0,5.0,17.003,8.769846535
5.0,5.0,17.503,8.750778107999999
5.0,5.0,18.003,8.731948298999999
