,Day,Depth,Temperature
1.0,1.0,2.569,20.33891106
1.0,1.0,3.069,20.28474899
1.0,1.0,3.569,20.27209438
1.0,1.0,4.069,20.18842967
1.0,1.0,4.569,20.18088732
1.0,1.0,5.069,19.89466003
1.0,1.0,5.569,19.28256774
1.0,1.0,6.069,18.48895144
1.0,1.0,6.569,17.78742151
1.0,1.0,7.069,16.87114249
1.0,1.0,7.569,15.89983321
1.0,1.0,8.068999999999999,14.96351589
1.0,1.0,8.568999999999999,14.27728208
1.0,1.0,9.068999999999999,13.89672728
1.0,1.0,9.568999999999999,13.43546793
1.0,1.0,10.068999999999999,12.78667673
1.0,1.0,10.569,12.33825931
1.0,1.0,11.069,12.03193565
1.0,1.0,11.569,11.616157099999999
1.0,1.0,12.069,11.19536531
1.0,1.0,12.569,10.64149667
1.0,1.0,13.069,10.28124042
1.0,1.0,13.569,9.964318731
1.0,1.0,14.069,9.582297159
1.0,1.0,14.569,9.208637656
1.0,1.0,15.069,8.962879399
1.0,1.0,15.569,8.777325132
1.0,1.0,16.069000000000003,8.635455363
1.0,1.0,16.569000000000003,8.50020439
1.0,1.0,17.069000000000003,8.389290068
1.0,1.0,17.569000000000003,8.366868647999999
1.0,1.0,18.069000000000003,8.287346785
1.0,1.0,18.569000000000003,8.214958098
1.0,1.0,19.069000000000003,8.15475425
1.0,1.0,19.569000000000003,8.134349249
1.0,1.0,20.069000000000003,8.050286222999999
1.0,1.0,20.569000000000003,7.995443823
1.0,1.0,21.069000000000003,7.9249185760000005
1.0,1.0,21.569000000000003,7.904480767000001
1.0,1.0,22.069000000000003,7.83594487
1.0,1.0,22.569000000000003,7.781222699
1.0,1.0,23.069000000000003,7.730915982000001
1.0,1.0,23.569000000000003,7.703775966
1.0,1.0,24.069000000000003,7.666289869
1.0,1.0,24.569000000000003,7.635174784
1.0,1.0,25.069000000000003,7.576192152000001
1.0,1.0,25.569000000000003,7.5469577029999995
1.0,1.0,26.069000000000003,7.501707555
1.0,1.0,26.569000000000003,7.46005323
1.0,1.0,27.069000000000003,7.42927491
1.0,1.0,27.569000000000003,7.391712638
1.0,1.0,28.069000000000003,7.364573465
1.0,1.0,28.569000000000003,7.346652324
1.0,1.0,29.069000000000003,7.304758551
1.0,1.0,29.569000000000003,7.269820936
1.0,1.0,30.069000000000003,7.22759042
1.0,1.0,30.569000000000003,7.199804707999999
1.0,1.0,31.069000000000003,7.1898545160000005
1.0,1.0,31.569000000000003,7.154045316
1.0,1.0,32.069,7.12102824
1.0,1.0,32.569,7.097915802999999
1.0,1.0,33.069,7.07533016
1.0,1.0,33.569,7.044886147000001
1.0,1.0,34.069,7.002276441
1.0,1.0,34.569,6.97025181
1.0,1.0,35.069,6.956844714
1.0,1.0,35.569,6.943765676
1.0,1.0,36.069,6.926176767
1.0,1.0,36.569,6.913671334
1.0,1.0,37.069,6.8997913120000005
1.0,1.0,37.569,6.88665695
1.0,1.0,38.069,6.874193302
2.0,2.0,2.569,20.33891106
2.0,2.0,3.069,20.28474899
2.0,2.0,3.569,20.27209438
2.0,2.0,4.069,20.18842967
2.0,2.0,4.569,20.18088732
2.0,2.0,5.069,19.89466003
2.0,2.0,5.569,19.28256774
2.0,2.0,6.069,18.48895144
2.0,2.0,6.569,17.78742151
2.0,2.0,7.069,16.87114249
2.0,2.0,7.569,15.89983321
2.0,2.0,8.068999999999999,14.96351589
2.0,2.0,8.568999999999999,14.27728208
2.0,2.0,9.068999999999999,13.89672728
2.0,2.0,9.568999999999999,13.43546793
2.0,2.0,10.068999999999999,12.78667673
2.0,2.0,10.569,12.33825931
