,Day,Depth,Temperature
1,1,2.101,16.4889622717
1,1,2.6010000000000004,16.3912641949
1,1,3.1010000000000004,16.287971287999998
1,1,3.6010000000000004,16.1424134022
1,1,4.101,15.9920699672
1,1,4.601,15.698485251400001
1,1,5.101,15.421520445699999
1,1,5.601,15.1000524967
1,1,6.101,14.6910531976
1,1,6.601,14.3532683804
1,1,7.101,14.0092702588
1,1,7.601,13.6645218261
1,1,8.101,13.358076038800002
1,1,8.601,12.937020218199999
1,1,9.101,12.5541806051
1,1,9.601,12.2254033148
1,1,10.101,11.8462510204
1,1,10.600999999999999,11.531365609100002
1,1,11.100999999999999,11.3207823989
1,1,11.600999999999999,11.1698952083
1,1,12.100999999999999,10.988268086600002
1,1,12.600999999999999,10.841741864400001
1,1,13.100999999999999,10.6859477078
1,1,13.600999999999999,10.5260357064
1,1,14.100999999999999,10.3870900802
1,1,14.600999999999999,10.2207375228
1,1,15.100999999999999,10.0577593781
1,1,15.600999999999999,9.92619796856
1,1,16.101,9.76200154921
1,1,16.601,9.62327650896
1,1,17.101,9.51034450115
1,1,17.601,9.38839808486
1,1,18.101,9.27844409111
1,1,18.601,9.190759872460001
1,1,19.101,9.10192492796
1,1,19.601,9.02330549004
1,1,20.101,8.92275526733
1,1,20.601,8.83054872418
1,1,21.101,8.751396325089999
1,1,21.601,8.672979447889999
1,1,22.101,8.567959692030001
1,1,22.601,8.48668101697
1,1,23.101,8.40795242967
1,1,23.601,8.319382024169999
1,1,24.101,8.22915151938
1,1,24.601,8.145206915589998
1,1,25.101,8.067572613200001
1,1,25.601,7.98492785755
1,1,26.101,7.860563922130001
1,1,26.601,7.74251229094
1,1,27.101,7.634057582610001
1,1,27.601,7.5368979518699994
1,1,28.101,7.42059233217
1,1,28.601,7.30679048197
1,1,29.101,7.2159314423000005
1,1,29.601,7.136713439739999
1,1,30.101,7.04672409861
1,1,30.601,6.9693808425
1,1,31.101,6.89343507631
1,1,31.601,6.84188363343
1,1,32.101,6.753079360780001
1,1,32.601,6.698746497590001
1,1,33.101,6.6337994489900005
1,1,33.601,6.5368473058
1,1,34.101,6.4452123320800006
1,1,34.601,6.35178579023
1,1,35.101,6.23370771258
1,1,35.601,6.16451112628
1,1,36.101,6.061058913119999
1,1,36.601,5.9534782342499994
1,1,37.101,5.87859425005
1,1,37.601,5.80385033747
1,1,38.101,5.719076472849999
2,2,2.101,16.4889622717
2,2,2.6010000000000004,16.3912641949
2,2,3.1010000000000004,16.287971287999998
2,2,3.6010000000000004,16.1424134022
2,2,4.101,15.9920699672
2,2,4.601,15.698485251400001
2,2,5.101,15.421520445699999
2,2,5.601,15.1000524967
2,2,6.101,14.6910531976
2,2,6.601,14.3532683804
2,2,7.101,14.0092702588
2,2,7.601,13.6645218261
2,2,8.101,13.358076038800002
2,2,8.601,12.937020218199999
2,2,9.101,12.5541806051
2,2,9.601,12.2254033148
2,2,10.101,11.8462510204
2,2,10.600999999999999,11.531365609100002
2,2,11.100999999999999,11.3207823989
2,2,11.600999999999999,11.1698952083
2,2,12.100999999999999,10.988268086600002
2,2,12.600999999999999,10.841741864400001
2,2,13.100999999999999,10.6859477078
2,2,13.600999999999999,10.5260357064
2,2,14.100999999999999,10.3870900802
2,2,14.600999999999999,10.2207375228
2,2,15.100999999999999,10.0577593781
2,2,15.600999999999999,9.92619796856
2,2,16.101,9.76200154921
2,2,16.601,9.62327650896
2,2,17.101,9.51034450115
2,2,17.601,9.38839808486
2,2,18.101,9.27844409111
2,2,18.601,9.190759872460001
2,2,19.101,9.10192492796
2,2,19.601,9.02330549004
2,2,20.101,8.92275526733
2,2,20.601,8.83054872418
2,2,21.101,8.751396325089999
2,2,21.601,8.672979447889999
2,2,22.101,8.567959692030001
2,2,22.601,8.48668101697
2,2,23.101,8.40795242967
2,2,23.601,8.319382024169999
2,2,24.101,8.22915151938
2,2,24.601,8.145206915589998
2,2,25.101,8.067572613200001
2,2,25.601,7.98492785755
2,2,26.101,7.860563922130001
