depth,temp,chla,do,sal,ph
2.001,15.8081367,0.112616672,9.907437182,0.02,7.729269927
2.501,15.80501824,0.123477134,9.903530487,0.02,7.695276245
3.001,15.78907247,0.126444203,9.898124066,0.02,7.679669751
3.501,15.77875452,0.134394168,9.89707089,0.02,7.691143829
4.001,15.76617189,0.134199757,9.895452422,0.02,7.691737157
4.501,15.71804888,0.133751888,9.89298693,0.02,7.678471999
5.001,15.65353889,0.13437116,9.890558771,0.02,7.674511518
5.501,15.59844038,0.133518213,9.886103635,0.02,7.693816103
6.001,15.42287277,0.135350043,9.876073396,0.02,7.678336678
6.501,15.34549397,0.135221545,9.871425175,0.02,7.686742275
7.001,15.2398947,0.137609622,9.857527175,0.02,7.701908216
7.501,14.97623297,0.13482813,9.844648425,0.02,7.677780808
8.001,14.65253627,0.122921496,9.835410979,0.02,7.651252092
8.501,14.38462903,0.109523197,9.81497922,0.02,7.65671179
9.001,13.98408961,0.0928855,9.803685193,0.02,7.622367103
9.501,13.61329922,0.074921991,9.800116427,0.02,7.604206456
10.001,13.22394434,0.058623998,9.780627055,0.02,7.597358377
10.501,12.82610727,0.043127161,9.771303993,0.02,7.577660591
11.001,12.5270016,0.033265267,9.763646134,0.02,7.58456945
11.501,12.31236423,0.029433813,9.755150075,0.02,7.619329902
12.001,12.0361098,0.024705887,9.755922148,0.02,7.625337613
12.501,11.83618904,0.021704532,9.747623442,0.02,7.657177994
13.001,11.68090364,0.019077997,9.741332006,0.02,7.699118896
13.501,11.29363511,0.019247819,9.728527864,0.02,7.664921063
14.001,11.09293171,0.018196121,9.720855619,0.02,7.685351899
14.501,10.88814093,0.019272209,9.712379065,0.02,7.708993724
15.001,10.49579777,0.01939485,9.697459764,0.02,7.662633003
15.501,10.14087413,0.018839893,9.67953453,0.02,7.651226183
16.001,9.824622301,0.019002327,9.66339107,0.02,7.633054821
16.501,9.547813067,0.019655914,9.647064396,0.02,7.625258137
17.001,9.325391595,0.019521477,9.627612082,0.02,7.616887306
17.501,9.066390726,0.020434668,9.607686557,0.02,7.602555552
18.001,8.879119216,0.020744558,9.599894435,0.02,7.599598202
18.501,8.739352069,0.022026929,9.573428364,0.02,7.601254263
19.001,8.559193741,0.023616901,9.551915372,0.02,7.572680856
19.501,8.430508408,0.024604676,9.554753669,0.02,7.587173003
20.001,8.240381562,0.023938972,9.518867972,0.02,7.5525655
20.501,8.167151599,0.024076391,9.530650435,0.02,7.574594807
21.001,8.018379728,0.021022137,9.523794813,0.02,7.572029742
21.501,7.876518805,0.017644501,9.475453933,0.02,7.549549194
22.001,7.799274897,0.013885346,9.447157332,0.02,7.555225886
22.501,7.724289282,0.011913719,9.431259226,0.02,7.565716353
23.001,7.614304875,0.00929547,9.382323479,0.02,7.553365917
23.501,7.524578105,0.007398973,9.341804449,0.02,7.550584132
24.001,7.428223879,0.005350324,9.302896871,0.02,7.54241682
24.501,7.341834662,0.006332415,9.261272874,0.02,7.531573317
25.001,7.273718603,0.006227739,9.233824484,0.02,7.533529691
25.501,7.22227406,0.004860102,9.221590804,0.02,7.543337452
26.001,7.150357526,0.00493061,9.18237525,0.02,7.537122448
26.501,7.083876051,0.005096849,9.1339858,0.02,7.522725809
27.001,7.055247209,0.006251918,9.136776583,0.02,7.540237965
27.501,6.991827292,0.008439808,9.08320437,0.02,7.520506106
28.001,6.929763394,0.008349637,9.042751482,0.02,7.507138553
