,Day,Depth,Temperature
1,1,2.004,11.703480024200001
1,1,2.504,11.662048112999999
1,1,3.0039999999999996,11.619205152000001
1,1,3.5039999999999996,11.5793724723
1,1,4.004,11.5505241156
1,1,4.504,11.523317358
1,1,5.004,11.4955979783
1,1,5.504,11.469953311600001
1,1,6.004,11.4564183519
1,1,6.504,11.425670376700001
1,1,7.004,11.373853488499998
1,1,7.504,11.3442039695
1,1,8.004,11.2850622485
1,1,8.504,11.176342208900001
1,1,9.004,11.0947773105
1,1,9.504,10.9901128866
1,1,10.004,10.8423704655
1,1,10.504000000000001,10.7423339714
1,1,11.004000000000001,10.6054222828
1,1,11.504000000000001,10.4670187842
1,1,12.004000000000001,10.392843808
1,1,12.504000000000001,10.2769818027
1,1,13.004000000000001,10.1506807026
1,1,13.504000000000001,10.0762396775
1,1,14.004000000000001,9.97446088359
1,1,14.504000000000001,9.85773443812
1,1,15.004000000000001,9.753510935680001
1,1,15.504000000000001,9.64703870967
1,1,16.004,9.54631450775
1,1,16.504,9.454072234389999
1,1,17.004,9.35539610576
1,1,17.504,9.25918588125
1,1,18.004,9.19433915808
1,1,18.504,9.13889759406
2,2,2.004,11.703480024200001
2,2,2.504,11.662048112999999
2,2,3.0039999999999996,11.619205152000001
2,2,3.5039999999999996,11.5793724723
2,2,4.004,11.5505241156
2,2,4.504,11.523317358
2,2,5.004,11.4955979783
2,2,5.504,11.469953311600001
2,2,6.004,11.4564183519
2,2,6.504,11.425670376700001
2,2,7.004,11.373853488499998
2,2,7.504,11.3442039695
2,2,8.004,11.2850622485
2,2,8.504,11.176342208900001
2,2,9.004,11.0947773105
2,2,9.504,10.9901128866
2,2,10.004,10.8423704655
2,2,10.504000000000001,10.7423339714
2,2,11.004000000000001,10.6054222828
2,2,11.504000000000001,10.4670187842
2,2,12.004000000000001,10.392843808
2,2,12.504000000000001,10.2769818027
2,2,13.004000000000001,10.1506807026
2,2,13.504000000000001,10.0762396775
2,2,14.004000000000001,9.97446088359
2,2,14.504000000000001,9.85773443812
2,2,15.004000000000001,9.753510935680001
2,2,15.504000000000001,9.64703870967
2,2,16.004,9.54631450775
2,2,16.504,9.454072234389999
2,2,17.004,9.35539610576
2,2,17.504,9.25918588125
2,2,18.004,9.19433915808
2,2,18.504,9.13889759406
3,3,2.004,11.703480024200001
3,3,2.504,11.662048112999999
3,3,3.0039999999999996,11.619205152000001
3,3,3.5039999999999996,11.5793724723
3,3,4.004,11.5505241156
3,3,4.504,11.523317358
