,Day,Depth,Temperature
1,1,2.005,23.517056090100002
1,1,2.505,23.4895416381
1,1,3.005,23.4461440359
1,1,3.505,23.4255175213
1,1,4.005,23.3657881597
1,1,4.505,23.2865382739
1,1,5.005,23.2526677365
1,1,5.505,23.1426205373
1,1,6.005,22.8025357127
1,1,6.505,22.4104251732
1,1,7.005,21.940899663499998
1,1,7.505,21.4297197508
1,1,8.005,21.0108091614
1,1,8.505,20.585109481
1,1,9.005,20.233740460099998
1,1,9.505,20.0580955682
1,1,10.005,19.897882849600002
1,1,10.505,19.7460398083
1,1,11.005,19.6086923699
1,1,11.505,19.3360367061
1,1,12.005,19.094152982
1,1,12.505,18.9202532692
1,1,13.005,18.7494216532
1,1,13.505,18.496124017
1,1,14.005,18.2523225431
1,1,14.505,18.0752625673
1,1,15.005,17.9589591727
1,1,15.505,17.816082375
1,1,16.005,17.551295347
1,1,16.505,17.313279034
1,1,17.005,17.0651933595
1,1,17.505,16.7809656073
1,1,18.005,16.485477736
1,1,18.505,16.2509165353
1,1,19.005,16.005152996099998
1,1,19.505,15.8095681902
1,1,20.005,15.5494664453
1,1,20.505,15.2682727937
1,1,21.005,15.0616646932
1,1,21.505,14.824871878900002
2,2,2.005,23.517056090100002
2,2,2.505,23.4895416381
2,2,3.005,23.4461440359
2,2,3.505,23.4255175213
2,2,4.005,23.3657881597
2,2,4.505,23.2865382739
2,2,5.005,23.2526677365
2,2,5.505,23.1426205373
2,2,6.005,22.8025357127
2,2,6.505,22.4104251732
2,2,7.005,21.940899663499998
2,2,7.505,21.4297197508
2,2,8.005,21.0108091614
2,2,8.505,20.585109481
2,2,9.005,20.233740460099998
2,2,9.505,20.0580955682
2,2,10.005,19.897882849600002
2,2,10.505,19.7460398083
2,2,11.005,19.6086923699
2,2,11.505,19.3360367061
2,2,12.005,19.094152982
2,2,12.505,18.9202532692
2,2,13.005,18.7494216532
2,2,13.505,18.496124017
2,2,14.005,18.2523225431
2,2,14.505,18.0752625673
2,2,15.005,17.9589591727
2,2,15.505,17.816082375
2,2,16.005,17.551295347
2,2,16.505,17.313279034
2,2,17.005,17.0651933595
