,Day,Depth,Temperature
1,1,2.278,20.95482487
1,1,2.778,20.93912017
1,1,3.278,20.92453378
1,1,3.778,20.90992612
1,1,4.2780000000000005,20.89849652
1,1,4.7780000000000005,20.88503666
1,1,5.278,20.86845364
1,1,5.778,20.85307569
1,1,6.278,20.83120259
1,1,6.778,20.54039155
1,1,7.278,20.14718954
1,1,7.778,19.66262614
1,1,8.277999999999999,19.02353565
1,1,8.777999999999999,18.3860298
1,1,9.277999999999999,17.73138095
1,1,9.777999999999999,17.09191302
1,1,10.277999999999999,16.71668022
1,1,10.777999999999999,16.38195553
1,1,11.277999999999999,16.08589088
1,1,11.777999999999999,15.90807786
1,1,12.277999999999999,15.69162557
1,1,12.777999999999999,15.50309386
1,1,13.277999999999999,15.34525753
1,1,13.777999999999999,15.17586459
1,1,14.277999999999999,14.93404852
1,1,14.777999999999999,14.75093545
1,1,15.277999999999999,14.54845646
1,1,15.777999999999999,14.36936802
1,1,16.278,14.22249977
1,1,16.778,14.07435977
1,1,17.278,13.88704912
1,1,17.778,13.77894953
1,1,18.278,13.60945206
1,1,18.778,13.44556596
1,1,19.278,13.2993341
1,1,19.778,13.07396662
1,1,20.278,12.83400019
1,1,20.778000000000002,12.62089544
1,1,21.278000000000002,12.37175915
1,1,21.778000000000002,12.15722271
1,1,22.278000000000002,11.97716666
1,1,22.778000000000002,11.81273196
1,1,23.278000000000002,11.69394981
1,1,23.778000000000002,11.58026609
1,1,24.278000000000002,11.46514046
2,2,2.278,20.95482487
2,2,2.778,20.93912017
2,2,3.278,20.92453378
2,2,3.778,20.90992612
2,2,4.2780000000000005,20.89849652
2,2,4.7780000000000005,20.88503666
2,2,5.278,20.86845364
2,2,5.778,20.85307569
2,2,6.278,20.83120259
2,2,6.778,20.54039155
2,2,7.278,20.14718954
2,2,7.778,19.66262614
2,2,8.277999999999999,19.02353565
2,2,8.777999999999999,18.3860298
2,2,9.277999999999999,17.73138095
2,2,9.777999999999999,17.09191302
2,2,10.277999999999999,16.71668022
2,2,10.777999999999999,16.38195553
2,2,11.277999999999999,16.08589088
2,2,11.777999999999999,15.90807786
2,2,12.277999999999999,15.69162557
2,2,12.777999999999999,15.50309386
2,2,13.277999999999999,15.34525753
2,2,13.777999999999999,15.17586459
2,2,14.277999999999999,14.93404852
2,2,14.777999999999999,14.75093545
2,2,15.277999999999999,14.54845646
2,2,15.777999999999999,14.36936802
2,2,16.278,14.22249977
2,2,16.778,14.07435977
2,2,17.278,13.88704912
2,2,17.778,13.77894953
2,2,18.278,13.60945206
2,2,18.778,13.44556596
2,2,19.278,13.2993341
2,2,19.778,13.07396662
2,2,20.278,12.83400019
2,2,20.778000000000002,12.62089544
2,2,21.278000000000002,12.37175915
2,2,21.778000000000002,12.15722271
2,2,22.278000000000002,11.97716666
2,2,22.778000000000002,11.81273196
2,2,23.278000000000002,11.69394981
2,2,23.778000000000002,11.58026609
2,2,24.278000000000002,11.46514046
3,3,2.278,20.95482487
3,3,2.778,20.93912017
3,3,3.278,20.92453378
3,3,3.778,20.90992612
3,3,4.2780000000000005,20.89849652
3,3,4.7780000000000005,20.88503666
3,3,5.278,20.86845364
3,3,5.778,20.85307569
3,3,6.278,20.83120259
3,3,6.778,20.54039155
3,3,7.278,20.14718954
3,3,7.778,19.66262614
3,3,8.277999999999999,19.02353565
3,3,8.777999999999999,18.3860298
3,3,9.277999999999999,17.73138095
3,3,9.777999999999999,17.09191302
3,3,10.277999999999999,16.71668022
3,3,10.777999999999999,16.38195553
3,3,11.277999999999999,16.08589088
3,3,11.777999999999999,15.90807786
3,3,12.277999999999999,15.69162557
3,3,12.777999999999999,15.50309386
3,3,13.277999999999999,15.34525753
3,3,13.777999999999999,15.17586459
3,3,14.277999999999999,14.93404852
3,3,14.777999999999999,14.75093545
3,3,15.277999999999999,14.54845646
3,3,15.777999999999999,14.36936802
3,3,16.278,14.22249977
3,3,16.778,14.07435977
3,3,17.278,13.88704912
3,3,17.778,13.77894953
3,3,18.278,13.60945206
3,3,18.778,13.44556596
3,3,19.278,13.2993341
3,3,19.778,13.07396662
3,3,20.278,12.83400019
3,3,20.778000000000002,12.62089544
3,3,21.278000000000002,12.37175915
3,3,21.778000000000002,12.15722271
3,3,22.278000000000002,11.97716666
3,3,22.778000000000002,11.81273196
3,3,23.278000000000002,11.69394981
3,3,23.778000000000002,11.58026609
3,3,24.278000000000002,11.46514046
4,4,2.278,20.95482487
4,4,2.778,20.93912017
4,4,3.278,20.92453378
4,4,3.778,20.90992612
4,4,4.2780000000000005,20.89849652
4,4,4.7780000000000005,20.88503666
4,4,5.278,20.86845364
4,4,5.778,20.85307569
4,4,6.278,20.83120259
4,4,6.778,20.54039155
4,4,7.278,20.14718954
4,4,7.778,19.66262614
4,4,8.277999999999999,19.02353565
4,4,8.777999999999999,18.3860298
4,4,9.277999999999999,17.73138095
4,4,9.777999999999999,17.09191302
4,4,10.277999999999999,16.71668022
4,4,10.777999999999999,16.38195553
4,4,11.277999999999999,16.08589088
4,4,11.777999999999999,15.90807786
4,4,12.277999999999999,15.69162557
4,4,12.777999999999999,15.50309386
4,4,13.277999999999999,15.34525753
4,4,13.777999999999999,15.17586459
4,4,14.277999999999999,14.93404852
4,4,14.777999999999999,14.75093545
4,4,15.277999999999999,14.54845646
4,4,15.777999999999999,14.36936802
4,4,16.278,14.22249977
4,4,16.778,14.07435977
4,4,17.278,13.88704912
4,4,17.778,13.77894953
4,4,18.278,13.60945206
4,4,18.778,13.44556596
4,4,19.278,13.2993341
4,4,19.778,13.07396662
4,4,20.278,12.83400019
4,4,20.778000000000002,12.62089544
4,4,21.278000000000002,12.37175915
4,4,21.778000000000002,12.15722271
4,4,22.278000000000002,11.97716666
4,4,22.778000000000002,11.81273196
4,4,23.278000000000002,11.69394981
4,4,23.778000000000002,11.58026609
4,4,24.278000000000002,11.46514046
5,5,2.278,20.95482487
5,5,2.778,20.93912017
5,5,3.278,20.92453378
5,5,3.778,20.90992612
5,5,4.2780000000000005,20.89849652
5,5,4.7780000000000005,20.88503666
5,5,5.278,20.86845364
5,5,5.778,20.85307569
5,5,6.278,20.83120259
5,5,6.778,20.54039155
5,5,7.278,20.14718954
5,5,7.778,19.66262614
5,5,8.277999999999999,19.02353565
5,5,8.777999999999999,18.3860298
5,5,9.277999999999999,17.73138095
5,5,9.777999999999999,17.09191302
5,5,10.277999999999999,16.71668022
5,5,10.777999999999999,16.38195553
5,5,11.277999999999999,16.08589088
5,5,11.777999999999999,15.90807786
5,5,12.277999999999999,15.69162557
5,5,12.777999999999999,15.50309386
5,5,13.277999999999999,15.34525753
5,5,13.777999999999999,15.17586459
5,5,14.277999999999999,14.93404852
5,5,14.777999999999999,14.75093545
5,5,15.277999999999999,14.54845646
5,5,15.777999999999999,14.36936802
5,5,16.278,14.22249977
5,5,16.778,14.07435977
5,5,17.278,13.88704912
5,5,17.778,13.77894953
5,5,18.278,13.60945206
5,5,18.778,13.44556596
5,5,19.278,13.2993341
5,5,19.778,13.07396662
5,5,20.278,12.83400019
5,5,20.778000000000002,12.62089544
5,5,21.278000000000002,12.37175915
5,5,21.778000000000002,12.15722271
5,5,22.278000000000002,11.97716666
5,5,22.778000000000002,11.81273196
5,5,23.278000000000002,11.69394981
5,5,23.778000000000002,11.58026609
5,5,24.278000000000002,11.46514046
6,6,2.278,20.95482487
6,6,2.778,20.93912017
6,6,3.278,20.92453378
6,6,3.778,20.90992612
6,6,4.2780000000000005,20.89849652
6,6,4.7780000000000005,20.88503666
6,6,5.278,20.86845364
6,6,5.778,20.85307569
6,6,6.278,20.83120259
6,6,6.778,20.54039155
6,6,7.278,20.14718954
6,6,7.778,19.66262614
6,6,8.277999999999999,19.02353565
6,6,8.777999999999999,18.3860298
6,6,9.277999999999999,17.73138095
6,6,9.777999999999999,17.09191302
6,6,10.277999999999999,16.71668022
6,6,10.777999999999999,16.38195553
6,6,11.277999999999999,16.08589088
6,6,11.777999999999999,15.90807786
6,6,12.277999999999999,15.69162557
6,6,12.777999999999999,15.50309386
6,6,13.277999999999999,15.34525753
6,6,13.777999999999999,15.17586459
6,6,14.277999999999999,14.93404852
6,6,14.777999999999999,14.75093545
6,6,15.277999999999999,14.54845646
6,6,15.777999999999999,14.36936802
6,6,16.278,14.22249977
6,6,16.778,14.07435977
6,6,17.278,13.88704912
6,6,17.778,13.77894953
6,6,18.278,13.60945206
6,6,18.778,13.44556596
6,6,19.278,13.2993341
6,6,19.778,13.07396662
6,6,20.278,12.83400019
6,6,20.778000000000002,12.62089544
6,6,21.278000000000002,12.37175915
6,6,21.778000000000002,12.15722271
6,6,22.278000000000002,11.97716666
6,6,22.778000000000002,11.81273196
6,6,23.278000000000002,11.69394981
6,6,23.778000000000002,11.58026609
6,6,24.278000000000002,11.46514046
7,7,2.278,20.95482487
7,7,2.778,20.93912017
7,7,3.278,20.92453378
7,7,3.778,20.90992612
7,7,4.2780000000000005,20.89849652
7,7,4.7780000000000005,20.88503666
7,7,5.278,20.86845364
7,7,5.778,20.85307569
7,7,6.278,20.83120259
7,7,6.778,20.54039155
7,7,7.278,20.14718954
7,7,7.778,19.66262614
7,7,8.277999999999999,19.02353565
7,7,8.777999999999999,18.3860298
7,7,9.277999999999999,17.73138095
7,7,9.777999999999999,17.09191302
7,7,10.277999999999999,16.71668022
7,7,10.777999999999999,16.38195553
7,7,11.277999999999999,16.08589088
7,7,11.777999999999999,15.90807786
7,7,12.277999999999999,15.69162557
7,7,12.777999999999999,15.50309386
7,7,13.277999999999999,15.34525753
7,7,13.777999999999999,15.17586459
7,7,14.277999999999999,14.93404852
7,7,14.777999999999999,14.75093545
7,7,15.277999999999999,14.54845646
7,7,15.777999999999999,14.36936802
7,7,16.278,14.22249977
7,7,16.778,14.07435977
7,7,17.278,13.88704912
7,7,17.778,13.77894953
7,7,18.278,13.60945206
7,7,18.778,13.44556596
7,7,19.278,13.2993341
7,7,19.778,13.07396662
7,7,20.278,12.83400019
7,7,20.778000000000002,12.62089544
7,7,21.278000000000002,12.37175915
7,7,21.778000000000002,12.15722271
7,7,22.278000000000002,11.97716666
7,7,22.778000000000002,11.81273196
7,7,23.278000000000002,11.69394981
7,7,23.778000000000002,11.58026609
7,7,24.278000000000002,11.46514046
8,8,2.278,20.95482487
8,8,2.778,20.93912017
8,8,3.278,20.92453378
8,8,3.778,20.90992612
8,8,4.2780000000000005,20.89849652
8,8,4.7780000000000005,20.88503666
8,8,5.278,20.86845364
8,8,5.778,20.85307569
8,8,6.278,20.83120259
8,8,6.778,20.54039155
8,8,7.278,20.14718954
8,8,7.778,19.66262614
8,8,8.277999999999999,19.02353565
8,8,8.777999999999999,18.3860298
8,8,9.277999999999999,17.73138095
8,8,9.777999999999999,17.09191302
8,8,10.277999999999999,16.71668022
8,8,10.777999999999999,16.38195553
8,8,11.277999999999999,16.08589088
8,8,11.777999999999999,15.90807786
8,8,12.277999999999999,15.69162557
8,8,12.777999999999999,15.50309386
8,8,13.277999999999999,15.34525753
8,8,13.777999999999999,15.17586459
8,8,14.277999999999999,14.93404852
8,8,14.777999999999999,14.75093545
8,8,15.277999999999999,14.54845646
8,8,15.777999999999999,14.36936802
8,8,16.278,14.22249977
8,8,16.778,14.07435977
8,8,17.278,13.88704912
8,8,17.778,13.77894953
8,8,18.278,13.60945206
8,8,18.778,13.44556596
8,8,19.278,13.2993341
8,8,19.778,13.07396662
8,8,20.278,12.83400019
8,8,20.778000000000002,12.62089544
8,8,21.278000000000002,12.37175915
8,8,21.778000000000002,12.15722271
8,8,22.278000000000002,11.97716666
8,8,22.778000000000002,11.81273196
8,8,23.278000000000002,11.69394981
8,8,23.778000000000002,11.58026609
8,8,24.278000000000002,11.46514046
9,9,2.278,20.95482487
9,9,2.778,20.93912017
9,9,3.278,20.92453378
9,9,3.778,20.90992612
9,9,4.2780000000000005,20.89849652
9,9,4.7780000000000005,20.88503666
9,9,5.278,20.86845364
9,9,5.778,20.85307569
9,9,6.278,20.83120259
9,9,6.778,20.54039155
9,9,7.278,20.14718954
9,9,7.778,19.66262614
9,9,8.277999999999999,19.02353565
9,9,8.777999999999999,18.3860298
9,9,9.277999999999999,17.73138095
9,9,9.777999999999999,17.09191302
9,9,10.277999999999999,16.71668022
9,9,10.777999999999999,16.38195553
9,9,11.277999999999999,16.08589088
9,9,11.777999999999999,15.90807786
9,9,12.277999999999999,15.69162557
9,9,12.777999999999999,15.50309386
9,9,13.277999999999999,15.34525753
9,9,13.777999999999999,15.17586459
9,9,14.277999999999999,14.93404852
9,9,14.777999999999999,14.75093545
9,9,15.277999999999999,14.54845646
9,9,15.777999999999999,14.36936802
9,9,16.278,14.22249977
9,9,16.778,14.07435977
9,9,17.278,13.88704912
9,9,17.778,13.77894953
9,9,18.278,13.60945206
9,9,18.778,13.44556596
9,9,19.278,13.2993341
9,9,19.778,13.07396662
9,9,20.278,12.83400019
9,9,20.778000000000002,12.62089544
9,9,21.278000000000002,12.37175915
9,9,21.778000000000002,12.15722271
9,9,22.278000000000002,11.97716666
9,9,22.778000000000002,11.81273196
9,9,23.278000000000002,11.69394981
9,9,23.778000000000002,11.58026609
9,9,24.278000000000002,11.46514046
10,10,2.278,20.95482487
10,10,2.778,20.93912017
10,10,3.278,20.92453378
10,10,3.778,20.90992612
10,10,4.2780000000000005,20.89849652
10,10,4.7780000000000005,20.88503666
10,10,5.278,20.86845364
10,10,5.778,20.85307569
10,10,6.278,20.83120259
10,10,6.778,20.54039155
10,10,7.278,20.14718954
10,10,7.778,19.66262614
10,10,8.277999999999999,19.02353565
10,10,8.777999999999999,18.3860298
10,10,9.277999999999999,17.73138095
10,10,9.777999999999999,17.09191302
10,10,10.277999999999999,16.71668022
10,10,10.777999999999999,16.38195553
10,10,11.277999999999999,16.08589088
10,10,11.777999999999999,15.90807786
10,10,12.277999999999999,15.69162557
10,10,12.777999999999999,15.50309386
10,10,13.277999999999999,15.34525753
10,10,13.777999999999999,15.17586459
10,10,14.277999999999999,14.93404852
10,10,14.777999999999999,14.75093545
10,10,15.277999999999999,14.54845646
10,10,15.777999999999999,14.36936802
10,10,16.278,14.22249977
10,10,16.778,14.07435977
10,10,17.278,13.88704912
10,10,17.778,13.77894953
10,10,18.278,13.60945206
10,10,18.778,13.44556596
