,Day,Depth,Temperature
1,1,2.214,10.34229555
1,1,2.714,10.34344001
1,1,3.214,10.34470052
1,1,3.714,10.3426648
1,1,4.2139999999999995,10.34230762
1,1,4.7139999999999995,10.34116438
1,1,5.2139999999999995,10.34101987
1,1,5.7139999999999995,10.33902334
1,1,6.2139999999999995,10.33610285
1,1,6.7139999999999995,10.3348807
1,1,7.2139999999999995,10.33359137
1,1,7.7139999999999995,10.33195543
1,1,8.214,10.33138192
1,1,8.714,10.33061746
1,1,9.214,10.32888091
1,1,9.714,10.32248812
1,1,10.214,10.31560053
1,1,10.714,10.31163487
1,1,11.214,10.30602757
1,1,11.714,10.29975463
1,1,12.214,10.28159676
1,1,12.714,10.15887502
1,1,13.214,10.04134674
1,1,13.714,9.868067325
1,1,14.214,9.666636345
1,1,14.714,9.474727601
1,1,15.214,9.310712459
1,1,15.714,9.171852281
1,1,16.214000000000002,9.128843964
1,1,16.714000000000002,9.066206614
1,1,17.214000000000002,9.040561962
1,1,17.714000000000002,8.969861004
1,1,18.214000000000002,8.924706537
2,2,2.214,10.34229555
2,2,2.714,10.34344001
2,2,3.214,10.34470052
2,2,3.714,10.3426648
2,2,4.2139999999999995,10.34230762
2,2,4.7139999999999995,10.34116438
2,2,5.2139999999999995,10.34101987
2,2,5.7139999999999995,10.33902334
2,2,6.2139999999999995,10.33610285
2,2,6.7139999999999995,10.3348807
2,2,7.2139999999999995,10.33359137
2,2,7.7139999999999995,10.33195543
2,2,8.214,10.33138192
2,2,8.714,10.33061746
2,2,9.214,10.32888091
2,2,9.714,10.32248812
2,2,10.214,10.31560053
2,2,10.714,10.31163487
2,2,11.214,10.30602757
2,2,11.714,10.29975463
2,2,12.214,10.28159676
2,2,12.714,10.15887502
2,2,13.214,10.04134674
2,2,13.714,9.868067325
2,2,14.214,9.666636345
2,2,14.714,9.474727601
2,2,15.214,9.310712459
2,2,15.714,9.171852281
2,2,16.214000000000002,9.128843964
2,2,16.714000000000002,9.066206614
2,2,17.214000000000002,9.040561962
2,2,17.714000000000002,8.969861004
2,2,18.214000000000002,8.924706537
3,3,2.214,10.34229555
3,3,2.714,10.34344001
3,3,3.214,10.34470052
3,3,3.714,10.3426648
3,3,4.2139999999999995,10.34230762
3,3,4.7139999999999995,10.34116438
3,3,5.2139999999999995,10.34101987
3,3,5.7139999999999995,10.33902334
3,3,6.2139999999999995,10.33610285
3,3,6.7139999999999995,10.3348807
3,3,7.2139999999999995,10.33359137
3,3,7.7139999999999995,10.33195543
3,3,8.214,10.33138192
3,3,8.714,10.33061746
3,3,9.214,10.32888091
3,3,9.714,10.32248812
3,3,10.214,10.31560053
3,3,10.714,10.31163487
3,3,11.214,10.30602757
3,3,11.714,10.29975463
3,3,12.214,10.28159676
3,3,12.714,10.15887502
3,3,13.214,10.04134674
3,3,13.714,9.868067325
3,3,14.214,9.666636345
3,3,14.714,9.474727601
3,3,15.214,9.310712459
3,3,15.714,9.171852281
3,3,16.214000000000002,9.128843964
