depth,temp
2.39,22.96559917
2.89,22.81573919
3.39,22.69463023
3.89,22.55057629
4.39,22.20330237
4.89,21.86304877
5.39,21.37218036
5.89,20.65854961
6.39,19.90993011
6.89,19.03588233
7.39,18.20667461
7.89,17.57480947
8.39,16.86666367
8.89,16.26879549
9.39,15.81081182
9.89,15.33042093
10.39,14.74746845
10.89,14.16440084
11.39,13.4669478
11.89,12.95590515
12.39,12.45703856
12.89,11.92496514
13.39,11.36255041
13.89,11.03111804
14.39,10.61835186
14.89,10.31685488
15.39,9.960807891
15.89,9.719769044
16.39,9.592356986
16.89,9.521490626
17.39,9.365171495
17.89,9.286567788
18.39,9.239420118
18.89,9.129188318
19.39,9.049948784
19.89,9.009228697
20.39,8.929048735
20.89,8.872796378
21.39,8.846954387
21.89,8.79490503
22.39,8.759956639
22.89,8.737702319
23.39,8.684322114
23.89,8.64112194
24.39,8.609314807
24.89,8.563324852
25.39,8.519080787
25.89,8.495715756
26.39,8.458423779
26.89,8.431842463
27.39,8.414686602
27.89,8.384823793
28.39,8.358765983
28.89,8.348181467
29.39,8.328907438
29.89,8.313117664
30.39,8.306172388
30.89,8.289110056
31.39,8.27523393
31.89,8.268002748
32.39,8.256578418
32.89,8.2491943
33.39,8.24438564
