depth,temp
2.227,21.72150889
2.727,21.64797403
3.227,21.44726649
3.727,20.99043735
4.227,20.43595382
4.727,19.71165508
5.227,18.85779802
5.727,17.98216625
6.227,17.01159635
6.727,16.12064842
7.227,15.532555
7.727,14.90515908
8.227,14.32512607
8.727,13.92331255
9.227,13.5025736
9.727,13.07638384
10.227,12.78796969
10.727,12.34666804
11.227,11.95570128
11.727,11.66150128
12.227,11.28600458
12.727,11.05526318
13.227,10.90707096
13.727,10.65402684
14.227,10.47918366
14.727,10.36223888
15.227,10.15853034
15.727,9.991608075
16.227,9.824676057
16.727,9.666343202
17.227,9.57015689
17.727,9.500906926
18.227,9.394263081
18.727,9.33651265
19.227,9.293739563
19.727,9.222054646
20.227,9.176156665
20.727,9.144352928
21.227,9.094372516
21.727,9.057442176
22.227,9.032201954
22.727,8.988402801
23.227,8.949685161
23.727,8.917567196
24.227,8.875270891
24.727,8.846206803
25.227,8.822746473
25.727,8.792127713
26.227,8.776004209
26.727,8.763404425
27.227,8.746136648
27.727,8.735379209
