depth,temp
2.618,11.85092477
3.118,11.61474632
3.618,11.42851724
4.118,11.22836513
4.618,11.00009331
5.118,10.83566121
5.618,10.70355331
6.118,10.49241138
6.618,10.23173231
7.118,9.973844772
7.618,9.690875964
8.118,9.472971612
8.618,9.279315713
9.118,9.086180688
9.618,8.941464527
10.118,8.836990014
10.618,8.65872573
11.118,8.548132908
11.618,8.378889666
12.118,8.260255522
12.618,8.21475992
13.118,8.161505066
13.618,8.073870845
14.118,8.029261371
14.618,7.991261522
15.118,7.941453177
15.618,7.877987422
16.118,7.820461027
16.618,7.771628448
17.118,7.729645183
17.618,7.674731916
18.118,7.630910291
